Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
Pepperoni Lover's® - Large Thin 'N Crispy®; Slice,133.4,18.0,30.0,17.0,4.0,2.0,830.0,55.0,350.0,9.0,0.5,0.5714285714285715,1.0476190476190477,1.3358070500927643,1.9761904761904763,0.3238095238095238
Supreme - Large Thin 'N Crispy® Slice,142.4,14.0,30.0,14.0,5.0,2.0,680.0,40.0,300.0,6.0,0.0,0.6666666666666667,0.888888888888889,1.2121212121212122,1.8888888888888888,0.3111111111111111
Ultimate Cheese Lover's® - Large Thin 'N Crispy® Slice,114.9,14.0,28.0,15.0,4.0,2.0,620.0,40.0,290.0,7.0,0.0,0.6436781609195402,0.9195402298850575,1.2539184952978055,1.7816091954022988,0.3448275862068966
Veggie Lover's® - Large Thin 'N Crispy® Slice,144.4,8.0,31.0,11.0,5.0,3.0,580.0,20.0,240.0,4.0,0.0,0.8611111111111113,0.5555555555555556,0.8658008658008658,2.013888888888889,0.3055555555555555
Backyard BBQ Chicken - Large Original Stuffed Crust® Slice,146.4,13.0,41.0,16.0,7.0,2.0,670.0,45.0,340.0,6.0,0.0,0.803921568627451,0.8823529411764707,0.9931245225362874,1.6421568627450982,0.3137254901960784
Buffalo Chicken - Large Original Stuffed Crust® Slice,144.7,11.0,39.0,15.0,2.0,2.0,870.0,40.0,310.0,6.0,0.0,0.8387096774193548,0.8602150537634409,0.9216589861751152,2.338709677419355,0.3225806451612903
Cheese - Large Original Stuffed Crust® Slice,138.7,13.0,35.0,14.0,2.0,3.0,660.0,35.0,310.0,7.0,0.0,0.7526881720430108,0.7526881720430108,1.0892333472978635,1.7741935483870968,0.3010752688172043
Chicken-Bacon Parmesan - Large Original Stuffed Crust® Slice,154.9,16.0,34.0,17.0,2.0,2.0,700.0,45.0,350.0,7.0,0.0,0.6476190476190476,0.8571428571428571,1.1873840445269017,1.6666666666666667,0.3238095238095238
Hawaiian Chicken - Large Original Stuffed Crust® Slice,161.9,11.0,37.0,16.0,3.0,2.0,750.0,40.0,310.0,6.0,0.0,0.7956989247311829,0.8602150537634409,0.9216589861751152,2.0161290322580645,0.34408602150537637
Meat Lover's® - Large Original Stuffed Crust® Slice,171.7,24.0,36.0,19.0,2.0,2.0,1010.0,60.0,430.0,10.0,0.0,0.5581395348837209,0.9302325581395349,1.4497130776200544,1.9573643410852715,0.29457364341085274
