Item 1,Item 2,Item 3,Metric,Price
"Seasoned Curly Fries, Small",Jack's Deals Chicken Nuggets (20 pc.),Brunch Burger,10.00067,9.370000000000001
Grande Sausage Breakfast Burrito with Salsa,Southwest Chicken Salad with Crispy Chicken,Jr. Jumbo Jack Cheeseburger,10.00109,12.07
Kids Crispy Chicken Strips,Spicy Sriracha Burger,Grande Sausage Breakfast Burrito without Salsa,10.09802,12.770000000000001
Spicy Sriracha Burger,Kids Crispy Chicken Strips,Grande Sausage Breakfast Burrito with Salsa,10.10443,12.770000000000001
Cheeseburger,Sourdough Grilled Chicken Club,Grande Sausage Breakfast Burrito without Salsa,10.1608,11.97
Sourdough Grilled Chicken Club,Cheeseburger,Grande Sausage Breakfast Burrito with Salsa,10.16721,11.97
Grande Sausage Breakfast Burrito without Salsa,Jack's Deals Jr. Bacon Cheeseburger,Jack's Deals Jr. Bacon Cheeseburger,10.17161,6.37
Jr. Bacon Cheeseburger,Grande Sausage Breakfast Burrito with Salsa,Jr. Bacon Cheeseburger,10.17802,6.37
Brunch Burger,Mini Churros (10 pc.),Jack's Deals Chicken Sandwich,10.2182,5.57
Jumbo Breakfast Platter with Sausage,"Better for You, Chicken Teriyaki Bowl",Mini Churros (10 pc.),10.21824,11.17
Brunch Burger,Bacon Ultimate Cheeseburger,"French Fries, Small",10.23149,9.27
Brunch Burger,Chicken Nuggets (20 pc.),Kids Crispy Chicken Strips,10.24866,12.07
Meat Lovers Breakfast Burrito with Salsa,Jumbo Jack,Chicken Teriyaki Bowl,10.26064,10.670000000000002
Jack's Deals Chicken Nuggets (10 pc.),Grande Sausage Breakfast Burrito without Salsa,Jack's Deals Jr. Bacon Cheeseburger,10.26594,7.970000000000001
Jr. Bacon Cheeseburger,Grande Sausage Breakfast Burrito with Salsa,Jack's Deals Chicken Nuggets (10 pc.),10.27235,7.97
Grande Sausage Breakfast Burrito without Salsa,Jack's Deals Chicken Sandwich with Bacon,Jr. Jumbo Jack,10.29992,7.27
Jack's Deals Chicken Sandwich with Bacon,Grande Sausage Breakfast Burrito with Salsa,Jr. Jumbo Jack,10.30633,7.27
Homestyle Ranch Chicken Club,Jack's Deals Jumbo Jack,Brunch Burger,10.30888,9.870000000000001
Ultimate Cheeseburger,Brunch Burger,Halfsies (a al carte),10.34871,9.47
Chicken Nuggets (10 pc.),Grande Sausage Breakfast Burrito without Salsa,Jack's Deals Chicken Nuggets (10 pc.),10.36028,9.57
Jack's Deals Chicken Nuggets (10 pc.),Chicken Nuggets (10 pc.),Grande Sausage Breakfast Burrito with Salsa,10.36669,9.57
Spicy Sriracha Burger,Brunch Burger,Spicy Chicken Biscuit,10.38561,11.57
Classic Buttery Jack,Brunch Burger,Fish Sandwich,10.43664,8.370000000000001
Spicy Sriracha Burger,Jack's Spicy Chicken,Brunch Burger,10.4947,11.57
Homestyle Potatoes,Chicken Nuggets (20 pc.),Meat Lovers Breakfast Burrito with Salsa,10.49563,13.47
Hamburger,Brunch Burger,Bacon & Swiss Buttery Jack,10.56322,10.67
Jack's Spicy Chicken with Cheese,Brunch Burger,Jack's Deals Jumbo Jack Cheeseburger,10.59232,10.07
Jumbo Breakfast Platter with Sausage,Mini Churros (10 pc.),Mini Churros (10 pc.),10.61224,8.47
Jumbo Jack,Mini Churros (10 pc.),Meat Lovers Breakfast Burrito with Salsa,10.65464,7.970000000000001
Bacon & Swiss Buttery Jack,"Jack's Deals Tacos, Regular",Brunch Burger,10.65922,8.870000000000001
Homestyle Ranch Chicken Club,Grilled Chicken Salad,Grande Sausage Breakfast Burrito without Salsa,10.67094,13.870000000000001
Grande Sausage Breakfast Burrito with Salsa,Homestyle Ranch Chicken Club,"Better for You, Grilled Chicken Salad",10.67735,13.870000000000001
Chicken Nuggets (20 pc.),"French Fries, Large",Sausage Breakfast Jack,10.68854,8.97
Bacon & Swiss Buttery Jack,Sausage Croissant,"French Fries, Large",10.72096,10.669999999999998
Southwest Chicken Salad with Crispy Chicken,Meat Lovers Breakfast Burrito with Salsa,Homestyle Ranch Chicken Club,10.72539,13.870000000000001
Meat Lovers Breakfast Burrito without Salsa,Kids Chicken Sandwich,Homestyle Ranch Chicken Club,10.74302,9.67
"Better for You, Chicken Fajita Pita made with Whole Grain without Salsa",Bacon & Swiss Buttery Jack,Brunch Burger,10.75191,14.370000000000001
Meat Lovers Breakfast Burrito without Salsa,Homestyle Ranch Chicken Club,Stuffed Jalapenos (7 pc.),10.79802,12.57
Meat Lovers Breakfast Burrito with Salsa,Halfsies (a al carte),Classic Buttery Jack,10.82126,10.670000000000002
Bacon & Egg Chicken Sandwich,Bacon Ultimate Cheeseburger,Jr. Jumbo Jack,10.85034,8.969999999999999
Chicken Sandwich,Ultimate Cheeseburger,Bacon & Egg Chicken Sandwich,10.86108,7.2700000000000005
Brunch Burger,Bacon Ranch Monster Taco,Bacon & Swiss Buttery Jack,10.86472,9.07
Grilled Breakfast Sandwich,Chicken Teriyaki Bowl,"Better for You, Chicken Teriyaki Bowl",10.86766,13.07
Bacon & Swiss Buttery Jack,Jack's Deals Jr. Jumbo Jack Cheeseburger,Bacon & Egg Chicken Sandwich,10.87788,9.57
Chocolate Overload Cake,Bacon Ultimate Cheeseburger,Brunch Burger,10.8921,9.17
Ultimate Cheeseburger,Stuffed Jalapenos (7 pc.),Bacon & Egg Chicken Sandwich,10.91608,10.170000000000002
"Seasoned Curly Fries, Small",Bacon Ultimate Cheeseburger,Meat Lovers Breakfast Burrito with Salsa,10.95187,10.47
Meat Lovers Breakfast Burrito without Salsa,Homestyle Ranch Chicken Club,Chicken Club Salad with Crispy Chicken,10.96931,13.870000000000001
Double Jack,Halfsies (a al carte),Meat Lovers Breakfast Burrito without Salsa,10.9771,8.47
"French Fries, Medium",Jumbo Breakfast Platter with Sausage,Chicken Nuggets (20 pc.),11.01676,11.67
Jack's Deals Chicken Sandwich with Bacon,Meat Lovers Breakfast Burrito without Salsa,Bacon Cheddar Potato Wedges,11.02263,7.77
Jack's Deals Jumbo Jack,Bacon & Egg Chicken Sandwich,Double Jack,11.05533,6.47
Meat Lovers Breakfast Burrito with Salsa,Sourdough Jack,Kids Chicken Sandwich,11.05708,9.370000000000001
Bacon & Egg Chicken Sandwich,Ultimate Cheeseburger,Chicken Club Salad with Crispy Chicken,11.08737,11.47
Bacon & Swiss Buttery Jack,Meat Lovers Breakfast Burrito without Salsa,Kids Grilled Cheese Sandwich,11.09735,12.17
Jack's Spicy Chicken with Cheese,Sourdough Grilled Chicken Club,Meat Lovers Breakfast Burrito with Salsa,11.10026,12.97
Spicy Chicken Biscuit,Sausage Breakfast Jack,Jack's Deals Chicken Nuggets (20 pc.),11.10775,11.27
Sourdough Jack,Stuffed Jalapenos (7 pc.),Meat Lovers Breakfast Burrito with Salsa,11.11208,12.270000000000001
Bacon Ultimate Cheeseburger,Jack's Deals Jr. Jumbo Jack,Extreme Sausage Sandwich,11.11661,10.969999999999999
Ultimate Cheeseburger,Kids Chicken Sandwich,Extreme Sausage Sandwich,11.12734,9.27
Chicken Nuggets (20 pc.),Jumbo Breakfast Platter with Sausage,"Seasoned Curly Fries, Medium",11.13274,11.870000000000001
Sausage Croissant,Spicy Chicken Biscuit,Bacon & Swiss Buttery Jack,11.14017,12.969999999999999
Extreme Sausage Sandwich,Jack's Deals Jr. Jumbo Jack Cheeseburger,Bacon & Swiss Buttery Jack,11.14415,11.57
Stuffed Jalapenos (7 pc.),Extreme Sausage Sandwich,Ultimate Cheeseburger,11.18235,12.170000000000002
Meat Lovers Breakfast Burrito with Salsa,Kids Crispy Chicken Strips,Bacon Ultimate Cheeseburger,11.19986,13.17
Monster Taco,Jack's Deals Chicken Nuggets (20 pc.),Meat Lovers Breakfast Burrito without Salsa,11.2006,9.77
Southwest Scrambler Plate with Sausage,Homestyle Ranch Chicken Club,Homestyle Ranch Chicken Club,11.20285,15.47
Jack's Spicy Chicken,Jack's Deals Chicken Nuggets (20 pc.),Sausage Breakfast Jack,11.21684,11.27
Sausage Breakfast Jack,Bacon Cheddar Potato Wedges,Classic Buttery Jack,11.23894,9.469999999999999
Meat Lovers Breakfast Burrito without Salsa,Bacon & Swiss Buttery Jack,Nacho Monster Taco,11.24638,10.17
Bacon & Swiss Buttery Jack,Sausage Croissant,Jack's Spicy Chicken,11.24926,12.969999999999999
Mini Churros (10 pc.),Grilled Breakfast Sandwich,Chicken Teriyaki Bowl,11.26167,10.370000000000001
"Sausage, Egg & Cheese Biscuit",Jack's Deals Jumbo Jack,Chicken Nuggets (20 pc.),11.26233,10.67
Chicken Sandwich,Bacon Ultimate Cheeseburger,Sausage Croissant,11.27659,9.67
Meat Lovers Breakfast Burrito with Salsa,Sourdough Jack,Chicken Club Salad with Crispy Chicken,11.28338,13.57
Southwest Scrambler Plate with Bacon,"French Fries, Large",Chicken Nuggets (20 pc.),11.28352,12.870000000000001
Bacon Breakfast Jack,"Better for You, Chicken Teriyaki Bowl",Bacon Ultimate Cheeseburger,11.30684,11.370000000000001
Double Jack,"French Fries, Large",Jumbo Breakfast Platter with Sausage,11.31257,9.370000000000001
Double Jack,Extreme Sausage Sandwich,Jumbo Jack,11.3216,8.469999999999999
Bacon Ultimate Cheeseburger,Stuffed Jalapenos (7 pc.),Sausage Croissant,11.3316,12.57
Meat Lovers Breakfast Burrito with Salsa,Kids Cheeseburger,Double Jack,11.34927,8.47
Meat Lovers Breakfast Burrito without Salsa,Jumbo Jack,Sourdough Jack,11.35332,10.670000000000002
Extreme Sausage Sandwich,Chicken Club Salad with Crispy Chicken,Ultimate Cheeseburger,11.35364,13.470000000000002
Sourdough Jack,Bacon Cheddar Potato Wedges,Jumbo Breakfast Platter with Sausage,11.38497,12.27
Jumbo Breakfast Platter with Sausage,Bacon Ultimate Cheeseburger,Halfsies (in Munchie Meal),11.40824,14.57
Kids Cheeseburger,Ultimate Cheeseburger,Meat Lovers Breakfast Burrito without Salsa,11.45125,10.57
"Sausage, Egg & Cheese Biscuit",Jack's Spicy Chicken with Cheese,Ultimate Cheeseburger,11.49838,12.27
Chicken Club Salad with Crispy Chicken,Bacon Ultimate Cheeseburger,Sausage Croissant,11.50289,13.870000000000001
Sausage Biscuit,Jack's Deals Chicken Nuggets (20 pc.),Jumbo Breakfast Platter with Sausage,11.5294,12.57
Jack's Deals Chicken Sandwich with Bacon,Meat Lovers Breakfast Burrito without Salsa,Spicy Sriracha Burger,11.56757,9.370000000000001
Sourdough Grilled Chicken Club,"Sausage, Egg & Cheese Biscuit",Bacon & Swiss Buttery Jack,11.57503,13.07
Classic Buttery Jack,Crispy Chicken Strips,Jumbo Breakfast Platter with Sausage,11.57915,13.97
Bacon Ultimate Cheeseburger,Brunch Burger,Orange & Cranberry Mini Muffins,11.60465,9.67
Grilled Breakfast Sandwich,Mini Churros (10 pc.),Mini Churros (10 pc.),11.65567,7.67
Bacon Breakfast Jack,Bacon Ultimate Cheeseburger,Mini Churros (10 pc.),11.70085,8.67
