Item 1,Item 2,Item 3,Metric,Price
"Frontega Chicken Panini on Sea Salt Focaccia, Whole","Broccoli Cheddar Soup, Bread Bowl","Bistro French Onion Soup, Bowl",6.53003,18.27
Apple Crunch Muffin,Whole Grain Bagel,"Bacon Mac & Cheese, Bread Bowl",6.53115,9.23
"BBQ Chicken Mac & Cheese, Bread Bowl","Turkey Sandwich on Whole Grain, Whole",Superfruit Smoothie with Greek yogurt,6.53184,11.27
Asiago Cheese Bagel,"Bistro French Onion Soup, Bread Bowl","BBQ Chicken Flatbread, 2 Flatbreads",6.53573,14.770000000000001
"Mediterranean Veggie Sandwich on Tomato Basil, Whole","BBQ Chicken Mac & Cheese, Bread Bowl","Tuna Salad Sandwich on Black Pepper Focaccia, Half",6.53874,15.469999999999999
Whole Grain Bagel,"Chipotle Chicken Avocado Melt on Black Pepper Focaccia, Whole","Broccoli Cheddar Soup, Bread Bowl",6.54649,15.129999999999999
"Bistro French Onion Soup, Bread Bowl",Signature Hot Chocolate,"Bacon Turkey Bravo Sandwich on Tomato Basil, Whole",6.54887,20.17
Frozen Caramel,Everything Bagel,"Mac & Cheese, Bread Bowl",6.55686,11.83
"Heritage Ham & Swiss Sandwich on Whole Grain, Whole","French Baguette, Side Portion","Bacon Mac & Cheese, Bread Bowl",6.55804,15.37
Cinnamon Crunch Bagel,"Roasted Turkey & Avocado BLT on Country Rustic, Half","BBQ Chicken Mac & Cheese, Bread Bowl",6.56367,13.52
"Bacon Turkey Bravo Sandwich on Tomato Basil, Whole",Whole Grain Bagel,"New England Clam Chowder, Bread Bowl",6.56581,14.030000000000001
Pumpkin Muffin,"Cream of Chicken & Wild Rice Soup, Bread Bowl",Pumpkin Muffin,6.5659,9.67
Cranberry Walnut Bagel,"BBQ Chicken Flatbread, 2 Flatbreads","Cream of Chicken & Wild Rice Soup, Bread Bowl",6.56761,12.469999999999999
"BBQ Chicken Mac & Cheese, Bread Bowl",Cranberry Walnut Miche Loaf,"Bacon Turkey Bravo Sandwich on Tomato Basil, Whole",6.58186,15.870000000000001
"Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Whole",Black Pepper Focaccia Loaf,"Mac & Cheese, Bread Bowl",6.58532,18.369999999999997
Pecan Roll,"Mac & Cheese, Bread Bowl",Sourdough Loaf,6.59109,12.27
"Napa Almond Chicken Salad Sandwich on Country Rustic, Whole",Signature Hot Chocolate,"Bistro French Onion Soup, Bread Bowl",6.59298,19.67
Frozen Caramel,"Mac & Cheese, Bread Bowl",Poppyseed Bagel,6.60015,11.830000000000002
"Broccoli Cheddar Soup, Bread Bowl","Broccoli Cheddar Soup, Bread Bowl","Greek Salad, Half",6.60255,15.17
Cranberry Walnut Bagel,"Mac & Cheese, Bread Bowl","Spicy Thai Salad with Chicken, Whole",6.60401,15.969999999999999
"Broccoli Cheddar Soup, Bread Bowl","Bistro French Onion Soup, Cup","Steak & White Cheddar Panini on Artisan Ciabatta, Whole",6.60441,18.369999999999997
Kitchen Sink Cookie,"Steel Cut Oatmeal with Almonds, Quinoa & Honey","Broccoli Cheddar Soup, Bread Bowl",6.60874,11.97
"Napa Almond Chicken Salad Sandwich on Country Rustic, Whole",Whole Grain Bagel,"New England Clam Chowder, Bread Bowl",6.60992,13.530000000000001
French Toast Bagel,"Broccoli Cheddar Soup, Bread Bowl",Chicken Tortellini Alfredo,6.61057,14.82
"Vegetarian Creamy Tomato Soup, Bread Bowl",Kids Mac & Cheese,Sourdough Bread Bowl,6.61074,15.270000000000001
