Item 1,Item 2,Item 3,Metric,Price
Western Bacon Cheeseburger,The 1/3 lb. Jalapeno Thickburger,Charbroiled BBQ Chicken Sandwich,7.79561,15.969999999999999
The 1/3 lb. Jalapeno Thickburger,Western Bacon Cheeseburger,"Hash Brown Nuggets, Medium",7.79606,12.77
Double All-Natural Burger,"Burrito Mexicano, Steak","Natural-Cut Fries, Medium",7.7973,12.770000000000001
Double Western Bacon Cheeseburger,Onion Rings,Guacamole Turkey Burger,7.79765,12.67
CrissCut Fries,Double Western Bacon Cheeseburger,"Burrito Especial, Steak",7.79771,7.47
"Natural-Cut Fries, Medium","Burrito Especial, Steak",The 1/3 lb. Mile High Bacon Thickburger,7.80124,10.07
Super Star with Cheese,Bean & Cheese Burrito,Teriyaki Burger,7.80326,15.67
The 1/3 lb. Original Six Dollar Thickburger,Chips,The 1/3 lb. Western Bacon Thickburger,7.80489,11.370000000000001
The 1/2 lb. Guacamole Bacon Thickburger,"Burrito Mexicano, Chicken",Made From Scratch Biscuit (California only),7.80551,16.869999999999997
"Burrito Especial, Chicken",The 1/3 lb. Mile High Bacon Thickburger,"Natural-Cut Fries, Large",7.80622,12.77
Western Bacon Cheeseburger,"Super Nachos, Ground Beef",Chocolate Cake,7.80808,10.77
The 1/2 lb. Original Six Dollar Thickburger,"Hash Brown Nuggets, Large",Charbroiled BBQ Chicken Sandwich,7.80884,12.57
"Hash Brown Nuggets, Medium",The 1/2 lb. Original Six Dollar Thickburger,"Hash Brown Nuggets, Large",7.80928,9.37
Western Bacon Cheeseburger,"Natural-Cut Fries, Kids",Double All-Natural Burger,7.81347,16.57
Teriyaki Turkey Burger,The 1/2 lb. Western Bacon Thickburger,"Natural-Cut Fries, Medium",7.8208,10.47
"Beef, Bean & Cheese Burrito",The 1/2 lb. Mile High Bacon Thickburger,"Natural-Cut Fries, Small",7.82566,11.370000000000001
"Taco Salad, Chicken","Natural-Cut Fries, Small",Super Star with Cheese,7.83079,8.07
"Natural-Cut Fries, Large","Chicken Taquitos, 5 Pieces",The Big Carl,7.83125,10.17
"Chicken Taquitos, 5 Pieces",Teriyaki Turkey Burger,"Super Nachos, Chicken",7.83305,9.469999999999999
"Taco Salad, Ground Beef",Single All-Natural Burger,Charbroiled BBQ Chicken Sandwich,7.83553,11.67
Single All-Natural Burger,"Taco Salad, Ground Beef","Hash Brown Nuggets, Medium",7.83598,8.47
Double Western Bacon Cheeseburger,Onion Rings,"Burrito California, Steak",7.83643,4.93
"Chicken Taquitos, 3 Pieces",Teriyaki Burger,"Super Nachos, Ground Beef",7.8382,14.27
"Burrito Especial, Steak",The 1/3 lb. Guacamole Bacon Thickburger,Biscuit 'N' Gravy (California only),7.83936,12.27
Charbroiled Chicken Club Sandwich,"Natural-Cut Fries, Medium",The 1/3 lb. Guacamole Bacon Thickburger,7.84027,12.57
"Super Nachos, Ground Beef","Burrito Especial, Chicken","Burrito Mexicano, Chicken",7.84195,13.870000000000001
Side of Beans,The Big Carl,The 1/3 lb. Original Six Dollar Thickburger,7.84486,10.27
Bacon Swiss Crispy Chicken Sandwich,Beer-Battered Cod Fish Sandwich,Famous Star with Cheese,7.8451,12.030000000000001
Charbroiled Santa Fe Chicken Sandwich,"Burrito Mexicano, Steak","Super Nachos, Chicken",7.84574,11.370000000000001
Famous Star with Cheese,Big Hamburger,"Taco Salad, Ground Beef",7.84596,6.17
"Hash Brown Nuggets, Large",Big Chicken Fillet Sandwich,Single All-Natural Burger,7.85232,11.57
Charbroiled Chicken Club Sandwich,Beer-Battered Cod Fish Sandwich,The 1/3 lb. Western Bacon Thickburger,7.85506,14.27
Double Western Bacon Cheeseburger,"Chicken Taquitos, 5 Pieces",Charbroiled BBQ Chicken Sandwich,7.86105,11.27
The 1/3 lb. Guacamole Bacon Thickburger,Onion Rings,Guacamole Turkey Burger,7.86123,15.47
"Burrito Especial, Steak",CrissCut Fries,The 1/3 lb. Guacamole Bacon Thickburger,7.86129,10.27
"Hash Brown Nuggets, Medium","Chicken Taquitos, 5 Pieces",Double Western Bacon Cheeseburger,7.86149,8.07
Biscuit 'N' Gravy (outside California),"Quesadilla, Steak","Super Nachos, Chicken",7.86778,9.47
"Taco Salad, Chicken",The 1/3 lb. Jalapeno Thickburger,"Hash Brown Nuggets, Small",7.86985,7.869999999999999
Made From Scratch Biscuit (outside California),Spicy Chicken Sandwich,The 1/2 lb. Guacamole Bacon Thickburger,7.87127,17.13
Double Western Bacon Cheeseburger,"Burrito Mexicano, Steak","Beef, Bean & Cheese Burrito",7.87281,8.57
"Chicken Taquitos, 5 Pieces",Beer-Battered Cod Fish Sandwich,The 1/3 lb. Original Six Dollar Thickburger,7.87291,12.27
The 1/3 lb. Jalapeno Thickburger,"Hash Brown Nuggets, Large","Burrito Especial, Steak",7.87705,9.370000000000001
"Natural-Cut Fries, Large",Kid's Cheeseburger,The 1/2 lb. Guacamole Bacon Thickburger,7.87897,10.57
Biscuit 'N' Gravy (California only),"Burrito Mexicano, Steak",The 1/3 lb. Mile High Bacon Thickburger,7.88384,12.27
"Chicken Stars, 9 Pieces","Super Nachos, Steak",Big Chicken Fillet Sandwich,7.88588,11.870000000000001
"Natural-Cut Fries, Large",The 1/2 lb. Original Six Dollar Thickburger,Spicy Chicken Sandwich,7.89091,13.530000000000001
The 1/2 lb. Western Bacon Thickburger,Famous Star with Cheese,"Natural-Cut Fries, Kids",7.89131,11.07
The 1/3 lb. Guacamole Bacon Thickburger,Onion Rings,"Burrito California, Steak",7.90001,7.73
The 1/3 lb. Jalapeno Thickburger,Famous Star with Cheese,Biscuit 'N' Gravy (California only),7.90058,11.57
The 1/3 lb. Mile High Bacon Thickburger,CrissCut Fries,"Burrito Mexicano, Steak",7.90578,10.27
"Taco Salad, Chicken",Chocolate Cake,"Super Nachos, Steak",7.90753,6.07
The 1/2 lb. Mile High Bacon Thickburger,Chips,"Beef, Bean & Cheese Burrito",7.90994,11.07
Bacon Swiss Crispy Chicken Sandwich,Made From Scratch Biscuit (outside California),The Big Carl,7.91406,14.53
Super Star with Cheese,Chips,"Taco Salad, Chicken",7.91506,7.77
"Quesadilla, Steak","Super Nachos, Ground Beef",Charbroiled BBQ Chicken Sandwich,7.91547,10.07
"Quesadilla, Steak","Super Nachos, Ground Beef","Hash Brown Nuggets, Medium",7.91591,6.87
The 1/3 lb. Jalapeno Thickburger,The 1/3 lb. Jalapeno Thickburger,"Natural-Cut Fries, Kids",7.91699,11.17
Biscuit 'N' Gravy (outside California),Bacon Swiss Crispy Chicken Sandwich,Single All-Natural Burger,7.91784,14.73
Famous Star with Cheese,CrissCut Fries,The 1/3 lb. Jalapeno Thickburger,7.92251,9.57
Double Western Bacon Cheeseburger,Charbroiled Santa Fe Chicken Sandwich,Biscuit 'N' Gravy (California only),7.92435,11.97
The 1/3 lb. Jalapeno Thickburger,Kid's Hamburger,"Taco Salad, Ground Beef",7.92459,7.97
The 1/3 lb. Guacamole Bacon Thickburger,"Chicken Taquitos, 5 Pieces",Charbroiled BBQ Chicken Sandwich,7.92462,14.07
"Natural-Cut Fries, Medium",The 1/2 lb. Western Bacon Thickburger,Guacamole Turkey Burger,7.92469,16.27
"Street Taco, Steak",The 1/3 lb. Western Bacon Thickburger,"Super Nachos, Ground Beef",7.92488,9.77
"Chicken Taquitos, 5 Pieces","Hash Brown Nuggets, Medium",The 1/3 lb. Guacamole Bacon Thickburger,7.92507,10.870000000000001
"Burrito Mexicano, Steak","Super Nachos, Ground Beef",Turkey Burger,7.92508,8.57
Famous Star with Cheese,Double All-Natural Burger,Made From Scratch Biscuit (outside California),7.9297,15.770000000000001
"Taco Salad, Chicken","Burrito Mexicano, Chicken",Western Bacon Cheeseburger,7.92986,13.77
Vanilla Shake,Onion Rings,"Taco Salad, Chicken",7.93213,7.069999999999999
Teriyaki Burger,"Taco Salad, Steak","Burrito Especial, Steak",7.93382,12.670000000000002
"Taco Salad, Steak","Chicken Stars, 6 Pieces","Super Nachos, Steak",7.93589,9.17
"Burrito Mexicano, Steak","Beef, Bean & Cheese Burrito",The 1/3 lb. Guacamole Bacon Thickburger,7.93639,11.370000000000001
"Super Nachos, Chicken","Chicken Taquitos, 5 Pieces",Guacamole Turkey Burger,7.93695,15.27
Vanilla Shake,"Natural-Cut Fries, Medium",The 1/3 lb. Western Bacon Thickburger,7.93717,10.27
The 1/2 lb. Guacamole Bacon Thickburger,"Natural-Cut Fries, Small",Spicy Chicken Sandwich,7.93794,13.93
Onion Rings,Strawberry Shake,"Taco Salad, Chicken",7.94067,6.069999999999999
Super Star with Cheese,Biscuit 'N' Gravy (California only),"Chicken Taquitos, 5 Pieces",7.94088,12.57
"Super Nachos, Chicken",Charbroiled BBQ Chicken Sandwich,OREO Cookie Shake,7.94197,8.97
"Hash Brown Nuggets, Medium",OREO Cookie Shake,"Super Nachos, Chicken",7.94241,5.77
Spicy Chicken Sandwich,Charbroiled Chicken Club Sandwich,"Super Nachos, Steak",7.94399,14.129999999999999
Western Bacon Cheeseburger,"Hash Brown Nuggets, Small",The Big Carl,7.94465,11.969999999999999
Biscuit 'N' Gravy (outside California),"Super Nachos, Steak","Quesadilla, Chicken",7.94484,10.47
Charbroiled Chicken Club Sandwich,The 1/2 lb. Western Bacon Thickburger,Fried Zucchini,7.94485,16.87
"Natural-Cut Fries, Medium",The 1/3 lb. Western Bacon Thickburger,Strawberry Shake,7.94571,9.27
CrissCut Fries,Double Western Bacon Cheeseburger,Charbroiled Santa Fe Chicken Sandwich,7.94629,9.969999999999999
The 1/2 lb. Original Six Dollar Thickburger,"Chicken Taquitos, 5 Pieces",Fried Zucchini,7.94731,15.07
The 1/2 lb. Mile High Bacon Thickburger,Teriyaki Turkey Burger,Made From Scratch Biscuit (California only),7.94957,13.47
"Natural-Cut Fries, Medium",The 1/3 lb. Mile High Bacon Thickburger,Charbroiled Santa Fe Chicken Sandwich,7.94981,12.57
"Taco Salad, Chicken",Chocolate Shake,Onion Rings,7.95019,4.97
"Taco Salad, Chicken","Beef, Bean & Cheese Burrito",Single All-Natural Burger,7.95353,10.17
"Natural-Cut Fries, Medium",The 1/3 lb. Western Bacon Thickburger,Chocolate Shake,7.95523,8.17
Teriyaki Burger,The Big Carl,Biscuit 'N' Gravy (California only),7.95615,16.17
Famous Star with Cheese,"Super Nachos, Steak","Chicken Taquitos, 3 Pieces",7.95688,9.07
The 1/3 lb. Original Six Dollar Thickburger,Bacon Swiss Crispy Chicken Sandwich,Charbroiled BBQ Chicken Sandwich,7.96116,14.93
Bacon Swiss Crispy Chicken Sandwich,"Hash Brown Nuggets, Medium",The 1/3 lb. Original Six Dollar Thickburger,7.9616,11.73
CrissCut Fries,Super Star with Cheese,"Chicken Taquitos, 5 Pieces",7.96282,10.57
The 1/2 lb. Western Bacon Thickburger,"Burrito Especial, Steak","Hash Brown Nuggets, Small",7.96333,10.47
"Natural-Cut Fries, Medium","Burrito California, Steak",The 1/2 lb. Western Bacon Thickburger,7.96347,8.530000000000001
