Item 1,Item 2,Item 3,Metric,Price
"Onion Rings, Medium",Double Meat Whataburger,Pancake Platter with Bacon Whatameal,6.80975,11.07
Whataburger Jr. Whatameal,Hot Lemon Pie,Double Meat Whataburger,6.81578,9.92
Whatachick'n Bites 4 Piece Kid's Meal,Biscuit and Gravy Whatameal,"Onion Rings, Large",6.82253,9.92
Jalapeno & Cheese Whataburger Whatameal with Lower Calorie Sides,Hot Lemon Pie,Double Meat Whataburger Jr. Whatameal,6.82368,10.17
Whataburger Whatameal with Lower Calorie Sides,Cinnamon Roll,Whatachick'n Strips 2 Piece Kid's Meal,6.82851,18.47
Jalapeno Cheddar Biscuit and Gravy,Whataburger Whatameal with Lower Calorie Sides,Whataburger Jr. Whatameal,6.82974,12.52
Double Meat Whataburger Whatameal with Lower Calorie Sides,Large White Bun,Double Meat Whataburger,6.83017,9.92
Justaburger Kid's Meal,Whataburger Whatameal with Lower Calorie Sides,Kids Grilled Cheese,6.83106,11.97
Honey BBQ Chicken Strip Sandwich,Justaburger Kid's Meal,Hot Apple Pie,6.83262,9.57
Whataburger Jr. with Bacon & Cheese,Pancake Platter with Bacon Whatameal,Grilled Cheese Kid's Meal with Lower Calorie Sides,6.83527,14.370000000000001
Avocado Bacon Burger,Whole Grain Bun,Double Meat Whataburger Jr. Whatameal,6.8377,6.48
Pancake Platter with Bacon Whatameal,Biscuit and Gravy Whatameal,Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,6.84371,11.62
Jalapeno Cheddar Biscuit and Gravy,Justaburger Kid's Meal with Lower Calorie Sides,Double Meat Whataburger Jr. Whatameal,6.84403,11.469999999999999
Grilled Cheese Kid's Meal,Medium French Fry,Kids Grilled Cheese,6.84405,8.870000000000001
Grilled Cheese Kid's Meal with Lower Calorie Sides,"Whataburger Patty Melt, Single",Pancakes,6.84535,14.469999999999999
Sweet & Spicy Bacon Burger Jr. Whatameal,Whole Grain Bun,"Whataburger Patty Melt, Single",6.84554,13.27
