Item 1,Item 2,Item 3,Metric,Price
Crispy Chicken Sandwich,Double Whopper Sandwich,"Chicken Nuggets, 10 Piece",8.95917,13.270000000000001
Spicy Crispy Chicken Jr.,Extra Long Cheeseburger,Double Whopper Sandwich with Cheese,8.96668,7.78
Double Hamburger,"Hash Browns, Medium",Bacon King Sandwich,8.97833,7.37
Hershey's Sundae Pie,Bacon & Cheese Whopper Sandwich,Double Whopper Sandwich,8.98192,12.170000000000002
BK Veggie Burger,Egg-Normous Burrito,"Hash Browns, Large",8.98791,6.37
Rodeo Crispy Chicken Sandwich,"Garden Chicken Salad with Grilled Chicken, No Dressing",Spicy Crispy Chicken Sandwich,8.99331,8.190000000000001
Grilled Chicken Sandwich,Rodeo King Sandwich,Chicken Fries,8.99396,11.07
Bacon & Cheese Whopper Sandwich,Double Whopper Sandwich,Oatmeal Raisin Cookies,8.99533,12.48
"Club Salad with Crispy Chicken, No Dressing",Crispy Chicken Sandwich,Bacon & Cheese Whopper Sandwich,9.02024,11.18
Rodeo King Sandwich,Grilled Chicken Sandwich,Value Menu Cheeseburger,9.02766,9.57
BK Ultimate Breakfast Platter,Crispy Chicken Jr.,"Onion Rings, Small",9.03168,7.68
Triple Whopper Sandwich with Cheese,Dutch Apple Pie,"Club Salad with Grilled Chicken, No Dressing",9.03693,14.07
Bacon & Cheese Whopper Sandwich,Sausage Biscuit,Bacon & Cheese Whopper Sandwich,9.0388,11.38
"Chicken Nuggets, 20 Piece",Kids Hamburger,Double Whopper Sandwich,9.04309,11.280000000000001
Rodeo Crispy Chicken Sandwich,Grilled Chicken Sandwich,Bacon King Jr. Sandwich,9.05384,9.08
Whopper Sandwich,"Club Salad with Crispy Chicken, No Dressing",Bacon & Cheese Crispy Chicken Sandwich,9.05939,10.18
Grilled Chicken Sandwich,Whopper Sandwich with Cheese,Bacon & Cheese Whopper Sandwich,9.06356,15.670000000000002
Bacon King Sandwich,"Onion Rings, Medium","Club Salad with Grilled Chicken, No Dressing",9.07017,12.370000000000001
"Chicken Nuggets, 20 Piece",Spicy Crispy Chicken Sandwich,"Club Salad with Grilled Chicken, No Dressing",9.07194,12.18
Value Menu Bacon Cheeseburger,Spicy Crispy Chicken Sandwich,Double Whopper Sandwich with Cheese,9.09031,7.78
Bacon King Sandwich,Sausage Biscuit,"Chicken Nuggets, 10 Piece",9.09351,7.98
Bacon King Sandwich,Bacon King Jr. Sandwich,Hershey's Chocolate Sundae,9.09667,9.67
Hershey's Sundae Pie,"Club Salad with Crispy Chicken, No Dressing",Bacon King Sandwich,9.0977,6.68
"Club Salad with Crispy Chicken, No Dressing",BBQ Bacon Whopper Sandwich,Original Chicken Sandwich,9.09864,9.08
Triple Whopper Sandwich with Cheese,Pancake and Sausage Platter,Soft Serve Cup,9.10017,11.08
"Garden Side Salad, No Dressing",Froot Loops Shake,Triple Whopper Sandwich with Cheese,9.10691,9.379999999999999
Crispy Chicken Sandwich,"Chicken Nuggets, 10 Piece",Double Quarter Pound King Sandwich,9.1104,12.47
"Club Salad with Crispy Chicken, No Dressing",Oatmeal Raisin Cookies,Bacon King Sandwich,9.11111,6.99
Kids PB&J Jamwich,BK Ultimate Breakfast Platter,Grilled Chicken Sandwich,9.12656,12.969999999999999
