Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"Cheese & Mushroom - 18"" Slice",205.3,10.0,51.0,17.0,3.0,4.0,710.0,30.0,360.0,5.0,0.0,0.9444444444444444,0.5555555555555556,0.7215007215007214,1.6435185185185186,1.8888888888888888,5.29,1.3888888888888888
"Cheese - 18"" Slice",194.9,14.0,51.0,19.0,3.0,4.0,820.0,40.0,410.0,7.0,0.0,0.8292682926829269,0.6504065040650407,0.8869179600886918,1.6666666666666667,1.8536585365853657,5.29,1.707317073170732
"Chicken-Bacon Parmesan - 18"" Slice",211.5,20.0,49.0,22.0,2.0,3.0,830.0,50.0,460.0,8.0,0.0,0.7101449275362319,0.7246376811594203,1.129305477131564,1.5036231884057971,1.9130434782608696,16.49,1.7391304347826086
"Four Pepper Pepperoni - 18"" Slice",216.1,13.0,51.0,17.0,4.0,4.0,1160.0,35.0,390.0,6.0,0.0,0.8717948717948719,0.5982905982905983,0.8658008658008658,2.4786324786324787,1.7435897435897436,15.49,1.5384615384615385
"Hawaiian Chicken - 18"" Slice",222.5,11.0,54.0,19.0,6.0,4.0,850.0,40.0,390.0,5.0,0.0,0.9230769230769231,0.6837606837606838,0.7326007326007326,1.8162393162393162,1.9487179487179487,15.49,1.282051282051282
"Italian Sausage - 18"" Slice",198.6,18.0,51.0,19.0,3.0,4.0,890.0,45.0,440.0,8.0,0.0,0.7727272727272727,0.6818181818181819,1.062573789846517,1.6856060606060608,1.7272727272727273,15.49,1.8181818181818181
"Meat Lover's® - 18"" Slice",217.2,24.0,51.0,22.0,3.0,4.0,1100.0,55.0,500.0,10.0,0.0,0.6799999999999999,0.7333333333333334,1.2467532467532467,1.8333333333333335,1.7599999999999998,15.49,2.0
"Pepperoni - 18"" Slice",182.1,14.0,50.0,17.0,3.0,4.0,800.0,35.0,390.0,6.0,0.0,0.8547008547008547,0.5982905982905983,0.9324009324009324,1.7094017094017093,1.7435897435897436,15.49,1.5384615384615385
"Pepperoni Lover's® - 18"" Slice",208.7,20.0,51.0,22.0,3.0,4.0,980.0,55.0,470.0,10.0,0.5,0.723404255319149,0.7801418439716312,1.1052777010223818,1.7375886524822697,1.872340425531915,15.49,2.127659574468085
"Supreme - 18"" Slice",231.7,17.0,52.0,19.0,4.0,4.0,860.0,40.0,430.0,7.0,0.0,0.8062015503875969,0.6201550387596899,1.0268800966475384,1.6666666666666667,1.7674418604651163,15.49,1.627906976744186
