Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"Vanilla Handcrafted Shake, Medium",534.0,23.0,95.0,18.0,88.0,1.0,480.0,75.0,630.0,15.0,0.5,1.0052910052910053,0.7936507936507936,0.9482580911152341,0.6349206349206349,1.1428571428571428,1.99,2.380952380952381
"Vanilla Handcrafted Shake, Small",376.0,17.0,67.0,12.0,62.0,0.0,340.0,55.0,450.0,11.0,0.0,0.9925925925925926,0.8148148148148148,0.9812409812409812,0.6296296296296297,1.0666666666666667,1.69,2.4444444444444446
"Vanilla Handcrafted Shake, Snack",227.0,8.0,40.0,8.0,37.0,0.0,210.0,25.0,250.0,5.0,0.0,1.0666666666666667,0.6666666666666667,0.8311688311688312,0.7,1.28,1.19,2.0
Kids Curly Fries,77.0,13.0,29.0,3.0,0.0,3.0,560.0,0.0,250.0,2.0,0.0,0.7733333333333334,0.0,1.3506493506493507,1.866666666666667,0.48,2.19,0.8
Kids Ham 'n Cheese Slider,91.0,9.0,22.0,13.0,3.0,1.0,750.0,30.0,230.0,3.5,0.0,0.6376811594202899,0.8695652173913043,1.0163749294184077,2.717391304347826,2.260869565217391,1.49,1.5217391304347827
Kids Prime-Cut Chicken Tenders (2),87.0,11.0,19.0,16.0,0.0,1.0,640.0,30.0,240.0,1.5,0.0,0.5277777777777778,0.8333333333333334,1.1904761904761905,2.2222222222222223,2.6666666666666665,3.99,0.625
Kids Roast Beef 'n Cheese Slider,91.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,0.5833333333333334,0.8333333333333334,1.1904761904761905,2.326388888888889,2.3333333333333335,1.49,1.875
Bacon & Cheese Croissant,83.0,19.0,27.0,13.0,3.0,1.0,670.0,50.0,330.0,10.0,0.0,0.5454545454545455,1.0101010101010102,1.4954742227469502,1.691919191919192,1.5757575757575757,4.59,3.0303030303030303
Bacon & Egg with Biscuit Platter,244.0,32.0,49.0,23.0,4.0,3.0,1620.0,260.0,590.0,13.0,0.0,0.5536723163841808,2.937853107344633,1.408760730794629,2.288135593220339,1.5593220338983051,6.99,2.2033898305084745
"Bacon, Egg & Cheese Biscuit",173.0,29.0,38.0,18.0,5.0,1.0,1720.0,155.0,480.0,15.0,0.0,0.5277777777777778,2.152777777777778,1.5692640692640694,2.986111111111111,1.5,3.99,3.125
"Bacon, Egg & Cheese Croissant",139.0,27.0,29.0,18.0,5.0,1.0,1010.0,185.0,440.0,13.0,0.5,0.4393939393939394,2.803030303030303,1.5938606847697756,1.9128787878787878,1.6363636363636362,3.99,2.9545454545454546
"Bacon, Egg & Cheese Sourdough",170.0,23.0,46.0,23.0,6.0,2.0,1260.0,155.0,490.0,8.0,0.0,0.6258503401360545,2.108843537414966,1.2191889742910151,2.1428571428571432,1.8775510204081634,3.99,1.6326530612244898
"Bacon, Egg & Cheese Wrap",178.0,27.0,42.0,20.0,5.0,4.0,1370.0,160.0,500.0,10.0,0.0,0.56,2.1333333333333333,1.4025974025974026,2.2833333333333337,1.6,3.99,2.0
Bacon Biscuit,104.0,17.0,36.0,10.0,3.0,1.0,1180.0,15.0,340.0,10.0,0.0,0.7058823529411765,0.29411764705882354,1.2987012987012987,2.8921568627450984,1.1764705882352942,4.59,2.941176470588235
Chicken Biscuit,134.0,18.0,44.0,13.0,2.0,2.0,1250.0,15.0,390.0,9.0,0.0,0.7521367521367521,0.25641025641025644,1.1988011988011988,2.670940170940171,1.3333333333333333,1.49,2.307692307692308
French Toast Sticks,128.0,10.0,57.0,7.0,13.0,5.0,250.0,0.0,350.0,1.5,0.0,1.0857142857142859,0.0,0.7421150278293135,0.5952380952380952,0.8,4.49,0.4285714285714286
Ham & Egg w/Biscuit Platter,275.0,29.0,50.0,23.0,5.0,2.0,1830.0,265.0,570.0,12.0,0.0,0.5847953216374269,3.0994152046783627,1.3214855320118477,2.675438596491228,1.6140350877192984,1.49,2.1052631578947367
Ham & Swiss Croissant,119.0,17.0,29.0,16.0,4.0,1.0,910.0,70.0,340.0,10.0,0.0,0.5686274509803922,1.3725490196078431,1.2987012987012987,2.230392156862745,1.8823529411764706,4.99,2.941176470588235
"Ham, Egg & Cheese Biscuit",203.0,25.0,39.0,21.0,5.0,1.0,1830.0,165.0,470.0,12.0,0.0,0.5531914893617021,2.3404255319148937,1.3815971262779774,3.24468085106383,1.7872340425531916,3.99,2.553191489361702
"Ham, Egg & Cheese Croissant",169.0,23.0,30.0,21.0,5.0,1.0,1120.0,195.0,420.0,11.0,0.5,0.47619047619047616,3.0952380952380953,1.4223871366728509,2.2222222222222223,2.0,3.99,2.619047619047619
"Ham, Egg & Cheese Sourdough",200.0,19.0,47.0,26.0,6.0,2.0,1370.0,165.0,470.0,6.0,0.0,0.6666666666666667,2.3404255319148937,1.0500138159712629,2.4290780141843973,2.212765957446808,3.99,1.276595744680851
"Ham, Egg & Cheese Wrap",184.0,22.0,42.0,17.0,5.0,4.0,1280.0,160.0,440.0,8.0,0.0,0.6363636363636365,2.4242424242424243,1.2987012987012987,2.4242424242424243,1.5454545454545454,3.99,1.8181818181818181
Ham Biscuit,140.0,16.0,37.0,13.0,4.0,1.0,1420.0,30.0,340.0,9.0,0.0,0.7254901960784315,0.5882352941176471,1.2223071046600458,3.4803921568627456,1.5294117647058825,1.59,2.6470588235294117
Sausage & Cheese Croissant,123.0,35.0,28.0,15.0,3.0,1.0,940.0,80.0,490.0,16.0,0.0,0.38095238095238093,1.0884353741496597,1.8552875695732838,1.598639455782313,1.2244897959183674,3.99,3.2653061224489797
Sausage & Egg with Biscuit Platter,279.0,46.0,50.0,22.0,4.0,3.0,1860.0,275.0,720.0,18.0,0.0,0.462962962962963,2.5462962962962963,1.6594516594516593,2.152777777777778,1.222222222222222,5.59,2.5
"Sausage, Egg & Cheese Biscuit",212.0,45.0,39.0,20.0,5.0,1.0,1990.0,185.0,640.0,20.0,0.0,0.40625,1.9270833333333335,1.8262987012987013,2.5911458333333335,1.25,3.99,3.125
"Sausage, Egg & Cheese Croissant",178.0,44.0,30.0,20.0,5.0,1.0,1280.0,215.0,590.0,19.0,0.5,0.33898305084745767,2.4293785310734464,1.937046004842615,1.807909604519774,1.3559322033898304,3.99,3.2203389830508473
"Sausage, Egg & Cheese Sourdough",210.0,39.0,47.0,25.0,6.0,2.0,1530.0,185.0,640.0,13.0,0.0,0.48958333333333337,1.9270833333333335,1.5827922077922076,1.9921875,1.5625,3.99,2.03125
"Sausage, Egg & Cheese Wrap",213.0,41.0,42.0,20.0,5.0,4.0,1550.0,185.0,630.0,15.0,0.0,0.4444444444444445,1.957671957671958,1.6903731189445477,2.0502645502645507,1.2698412698412698,3.99,2.380952380952381
Sausage Biscuit,144.0,33.0,36.0,12.0,3.0,1.0,1450.0,40.0,500.0,15.0,0.0,0.48,0.5333333333333333,1.7142857142857144,2.4166666666666665,0.96,5.59,3.0
Sausage Gravy Biscuit,261.0,28.0,48.0,9.0,3.0,1.0,1770.0,20.0,480.0,13.0,0.0,0.6666666666666667,0.2777777777777778,1.5151515151515151,3.072916666666667,0.75,5.59,2.7083333333333335
"Sausage Gravy Biscuit, Double",522.0,56.0,96.0,18.0,5.0,3.0,3540.0,35.0,970.0,27.0,0.0,0.6597938144329897,0.24054982817869414,1.499531396438613,3.0412371134020617,0.7422680412371134,5.59,2.7835051546391756
Arby's Melt,146.0,12.0,39.0,18.0,5.0,2.0,940.0,35.0,330.0,4.0,0.5,0.7878787878787878,0.7070707070707071,0.9445100354191263,2.373737373737374,2.1818181818181817,1.59,1.2121212121212122
Arby-Q,182.0,11.0,58.0,18.0,23.0,3.0,1250.0,30.0,400.0,3.5,0.5,0.9666666666666667,0.5,0.7142857142857143,2.604166666666667,1.7999999999999998,7.69,0.8750000000000001
Ham & Swiss Melt,131.0,8.0,37.0,18.0,6.0,2.0,1060.0,35.0,300.0,3.5,0.0,0.8222222222222223,0.7777777777777778,0.6926406926406927,2.9444444444444446,2.4,1.59,1.1666666666666667
"Homestyle Fries, Kids",85.0,11.0,33.0,3.0,0.0,3.0,550.0,0.0,240.0,1.5,0.0,0.9166666666666667,0.0,1.1904761904761905,1.909722222222222,0.5,1.99,0.625
"Homestyle Fries, Large",213.0,26.0,84.0,7.0,0.0,7.0,1380.0,0.0,600.0,3.5,0.0,0.9333333333333335,0.0,1.1255411255411256,1.9166666666666665,0.4666666666666667,2.19,0.5833333333333334
"Homestyle Fries, Medium",170.0,21.0,67.0,5.0,0.0,6.0,1100.0,0.0,480.0,3.0,0.0,0.9305555555555556,0.0,1.1363636363636362,1.909722222222222,0.41666666666666663,1.99,0.625
"Homestyle Fries, Small",126.0,16.0,49.0,4.0,0.0,4.0,810.0,0.0,350.0,2.0,0.0,0.9333333333333335,0.0,1.1873840445269017,1.9285714285714288,0.45714285714285713,1.69,0.5714285714285714
Super Roast Beef,210.0,19.0,43.0,23.0,11.0,3.0,1080.0,50.0,440.0,6.0,1.0,0.6515151515151516,0.7575757575757576,1.1216056670602126,2.0454545454545454,2.090909090909091,1.59,1.3636363636363635
