,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
17,"Blue Raspberry Coolatta, Large",,0g,123g,0g,121g,0g,45mg,0mg,480,0g,0g,0
18,"Blue Raspberry Coolatta, Medium",,0g,92g,0g,91g,0g,35mg,0mg,360,0g,0g,0
19,"Blue Raspberry Coolatta, Small",,0g,62g,0g,61g,0g,25mg,0mg,240,0g,0g,0
20,"Strawberry Fruit Coolatta, Large",,0g,148g,0g,144g,2g,20mg,0mg,590,0g,0g,0
21,"Strawberry Fruit Coolatta, Medium",,0g,111g,0g,108g,1g,15mg,0mg,440,0g,0g,0
22,"Strawberry Fruit Coolatta, Small",,0g,74g,0g,72g,1g,10mg,0mg,300,0g,0g,0
23,"Vanilla Bean Coolatta, Large",,12g,184g,6g,175g,0g,310mg,40mg,840,6g,0g,$4.99
24,"Vanilla Bean Coolatta, Medium",,9g,138g,4g,132g,0g,240mg,30mg,630,4.5g,0g,$3.99
25,"Vanilla Bean Coolatta, Small",,6g,92g,3g,88g,0g,160mg,20mg,420,3g,0g,$2.99
26,Classic Plain Cream Cheese Spread,,12g,3g,2g,3g,0g,200mg,40mg,120,8g,0g,$2.49
27,Garden Veggie Cream Cheese Spread,,10g,3g,2g,1g,0g,200mg,35mg,100,6g,0g,$1.99
28,Strawberry Cream Cheese Spread,,10g,9g,2g,8g,0g,100mg,30mg,130,6g,0g,0
29,Egg & Cheese Wake-Up Wrap,,10g,14g,7g,1g,0g,470mg,95mg,180,4g,0g,$1.19
30,"Ham, Egg & Cheese Wake-Up Wrap",,11g,15g,9g,1g,0g,600mg,100mg,190,4g,0g,0
31,Turkey Sausage Wake Up Wrap,,14g,15g,13g,1g,0g,700mg,125mg,240,5g,0g,$1.39
32,Veggie Egg White Wake-Up Wrap,,8g,15g,8g,1g,1g,510mg,20mg,160,4g,0g,$4.59
33,Apple 'n Spice Donut,,14g,29g,3g,9g,1g,340mg,0mg,260,6g,0g,0
34,Apple Crumb Donut,,15g,42g,3g,20g,1g,350mg,0mg,320,7g,0g,0
35,Apple Fritter,,19g,58g,6g,24g,2g,380mg,0mg,420,8g,0g,0
36,Apple Stick,,25g,44g,4g,20g,1g,390mg,30mg,420,11g,0g,0
37,Apple Streusel Donut (Regional),,16g,45g,3g,22g,1g,350mg,0mg,340,7g,0g,0
38,Bavarian Kreme Donut,,15g,30g,3g,11g,1g,370mg,0mg,270,7g,0g,0
39,Bismark,,24g,65g,5g,40g,1g,380mg,0mg,490,11g,0g,0
40,Boston Kreme Donut,,16g,37g,3g,17g,1g,390mg,0mg,300,7g,0g,0
41,Bowtie Donut (Regional),,12g,38g,4g,16g,1g,270mg,0mg,270,4.5g,0g,0
42,Butternut Donut,,20g,55g,4g,33g,1g,330mg,25mg,410,9g,0g,0
43,Chocolate Butternut Donut,,20g,54g,4g,31g,2g,430mg,0mg,410,10g,0g,0
44,Chocolate Coconut Donut (Regional),,21g,47g,4g,25g,2g,430mg,0mg,390,10g,0g,$2.49
45,Chocolate Creme Donut,,19g,35g,4g,15g,1g,360mg,0mg,320,9g,0g,0
46,Chocolate Creme Stick (Regional),,25g,59g,5g,33g,1g,360mg,0mg,480,11g,0g,$2.99
47,Chocolate Dipped French Cruller,,14g,34g,3g,20g,0g,190mg,55mg,280,6g,0g,0
48,Chocolate Frosted Cake Donut,,19g,40g,4g,20g,1g,340mg,25mg,350,9g,0g,0
49,Chocolate Frosted Donut,,15g,31g,3g,13g,1g,340mg,0mg,280,7g,0g,0
50,Chocolate Frosted with Sprinkles,,16g,34g,3g,14g,1g,340mg,0mg,290,7g,0g,0
51,Chocolate Headlight Donut,,18g,39g,4g,19g,1g,370mg,0mg,330,8g,0g,0
52,Chocolate Long John,,17g,42g,5g,16g,1g,320mg,0mg,340,7g,0g,0
53,Cinnamon Donut,,19g,32g,4g,13g,1g,320mg,25mg,310,9g,0g,0
54,Cinnamon Stick,,25g,35g,4g,13g,1g,370mg,30mg,380,11g,0g,0
55,Coconut Donut,,20g,48g,4g,27g,1g,330mg,25mg,390,10g,0g,0
56,Coffee Roll,,18g,51g,7g,17g,2g,410mg,0mg,390,7g,0g,$1.29
57,Creme Delight Donut (Regional),,20g,43g,3g,24g,1g,370mg,0mg,360,9g,0g,0
58,Donut Fries,,14g,22g,4g,5g,1g,220mg,20mg,240,8g,0g,$8.99
59,Double Chocolate Donut,,20g,39g,4g,18g,2g,440mg,0mg,350,9g,0g,0
60,Dulce de Leche Donut (Regional),,16g,35g,4g,13g,1g,350mg,0mg,300,7g,0g,0
61,Eclair,,18g,51g,5g,23g,1g,390mg,0mg,380,7g,0g,0
62,French Cruller,,13g,23g,3g,10g,0g,170mg,55mg,220,6g,0g,$1.29
63,Frosted Vanilla Creme Donut,,20g,43g,3g,24g,1g,370mg,0mg,360,9g,0g,0
64,Frosted with DD Sprinkles Donut,,16g,35g,3g,15g,1g,340mg,0mg,290,7g,0g,0
65,Glazed Blueberry Donut,,16g,44g,4g,22g,1g,370mg,30mg,340,7g,0g,0
66,Glazed Chocolate Donut,,19g,38g,3g,17g,1g,420mg,0mg,340,9g,0g,0
67,Glazed Chocolate Stick,,25g,42g,4g,20g,2g,540mg,0mg,410,10g,0g,0
68,Glazed Donut,,14g,30g,3g,12g,1g,330mg,0mg,260,6g,0g,0
69,Glazed Jelly Donut,,14g,42g,3g,24g,1g,350mg,0mg,310,6g,0g,0
70,Glazed Jelly Stick,,25g,61g,4g,39g,1g,420mg,30mg,490,11g,0g,0
71,Glazed Lemon Donut (Regional),,14g,39g,3g,19g,1g,380mg,0mg,300,6g,0g,0
72,Glazed Stick,,25g,43g,4g,21g,1g,370mg,30mg,410,11g,0g,0
73,Glazed Strawberry Donut,,14g,43g,3g,23g,1g,350mg,0mg,310,6g,0g,0
74,Guava Donut (Regional),,15g,30g,3g,11g,1g,350mg,0mg,270,7g,0g,$3.59
75,Jelly Donut,,14g,34g,3g,16g,1g,350mg,0mg,280,6g,0g,$4.99
76,Jelly Stick,,25g,52g,4g,32g,1g,410mg,30mg,450,11g,0g,0
77,Lemon Donut,,15g,29g,3g,10g,1g,380mg,0mg,260,7g,0g,0
78,Lemon Stick,,25g,45g,4g,21g,1g,450mg,30mg,420,11g,0g,0
79,Maple Creme Donut,,19g,36g,3g,18g,1g,350mg,0mg,320,8g,0g,0
80,Maple Creme Stick,,24g,60g,5g,35g,1g,350mg,0mg,480,11g,0g,0
81,Maple Frosted Donut,,15g,32g,3g,14g,1g,340mg,0mg,280,7g,0g,0
82,Maple Vanilla Creme Donut,,20g,43g,3g,25g,1g,360mg,0mg,360,9g,0g,0
83,Marble Frosted Donut (Regional),,15g,35g,3g,16g,1g,340mg,0mg,290,7g,0g,0
