Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Hot Cappuccino with Sugar, Medium",N/A,6g,36g,6g,36g,0g,90mg,20mg,220,3.5g,0g
"Hot Cappuccino with Sugar, Small",N/A,4g,24g,4g,24g,0g,70mg,15mg,140,2.5g,0g
"Maple Pecan Swirl Hot Cappuccino with Skim Milk, Large",N/A,0g,66g,11g,62g,0g,170mg,10mg,310,0g,0g
"Maple Pecan Swirl Hot Cappuccino with Skim Milk, Medium",N/A,0g,49g,8g,47g,0g,130mg,5mg,230,0g,0g
"Maple Pecan Swirl Hot Cappuccino with Skim Milk, Small",N/A,0g,33g,5g,31g,0g,85mg,5mg,160,0g,0g
"Maple Pecan Swirl Hot Cappuccino with Whole Milk, Large",N/A,8g,65g,10g,62g,0g,180mg,30mg,380,4.5g,0g
"Maple Pecan Swirl Hot Cappuccino with Whole Milk, Medium",N/A,6g,49g,8g,46g,0g,130mg,20mg,280,3.5g,0g
"Maple Pecan Swirl Hot Cappuccino with Whole Milk, Small",N/A,4g,33g,5g,31g,0g,90mg,15mg,190,2.5g,0g
"Mocha Swirl Hot Cappuccino with Skim Milk, Large",N/A,1g,63g,10g,57g,2g,140mg,5mg,300,0.5g,0g
"Mocha Swirl Hot Cappuccino with Skim Milk, Medium",N/A,1g,47g,8g,43g,2g,105mg,5mg,230,0g,0g
"Mocha Swirl Hot Cappuccino with Skim Milk, Small",N/A,0.5g,32g,5g,29g,1g,70mg,0mg,150,0g,0g
"Mocha Swirl Hot Cappuccino with Whole Milk, Large",N/A,9g,63g,10g,57g,2g,140mg,25mg,370,5g,0g
"Mocha Swirl Hot Cappuccino with Whole Milk, Medium",N/A,7g,47g,7g,43g,2g,105mg,20mg,280,4g,0g
"Mocha Swirl Hot Cappuccino with Whole Milk, Small",N/A,4.5g,31g,5g,28g,1g,70mg,10mg,180,2.5g,0g
"Pumpkin Swirl Hot Cappuccino with Skim Milk, Large",N/A,0g,62g,12g,60g,0g,230mg,5mg,300,0g,0g
"Pumpkin Swirl Hot Cappuccino with Skim Milk, Medium",N/A,0g,47g,9g,45g,0g,170mg,5mg,230,0g,0g
"Pumpkin Swirl Hot Cappuccino with Skim Milk, Small",N/A,0g,31g,6g,30g,0g,115mg,5mg,150,0g,0g
"Pumpkin Swirl Hot Cappuccino with Whole Milk, Large",N/A,8g,62g,11g,60g,0g,230mg,25mg,370,5g,0g
"Pumpkin Swirl Hot Cappuccino with Whole Milk, Medium",N/A,6g,46g,8g,45g,0g,170mg,20mg,280,3.5g,0g
"Pumpkin Swirl Hot Cappuccino with Whole Milk, Small",N/A,4g,31g,5g,30g,0g,115mg,15mg,180,2.5g,0g
"Dunkaccino, Extra Large",N/A,23g,80g,4g,58g,1g,510mg,10mg,540,19g,0g
"Dunkaccino, Large",N/A,21g,73g,4g,53g,1g,470mg,10mg,490,17g,0g
"Dunkaccino, Medium",N/A,15g,52g,3g,38g,1g,340mg,5mg,350,12g,0g
"Dunkaccino, Small",N/A,10g,36g,2g,26g,0g,230mg,5mg,240,8g,0g
