Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Smoky Gouda Prime Rib & Broccoli Skillet,N/A,45g,66g,44g,8g,8g,2190mg,105mg,840,15g,0.5g
Supreme Skillet (Add Egg Choice),N/A,42g,34g,15g,3g,5g,1180mg,50mg,560,13g,0g
All-American Slam with Hash Browns (Add Bread Choice),N/A,74g,19g,44g,2g,2g,1800mg,815mg,930,26g,0g
Belgian Waffle Slam (Add Egg Choice),N/A,43g,45g,18g,2g,2g,1290mg,175mg,640,18g,0.5g
Fit Slam,N/A,11g,56g,27g,21g,4g,850mg,30mg,420,2.5g,0g
French Toast Slam (Add Egg Choice),N/A,53g,65g,31g,14g,3g,1650mg,395mg,860,17g,0g
"Grand Slam Slugger (Add Egg, Bread/Hash Browns & Juice Choices)",N/A,34g,79g,22g,21g,3g,2050mg,110mg,710,12g,0g
Lumberjack Slam (Add Egg & Bread Choices),N/A,49g,96g,38g,23g,4g,3200mg,130mg,970,15g,0g
Original Grand Slam (Add Egg Choice),N/A,34g,79g,22g,21g,3g,2040mg,110mg,710,12g,0g
Avocado Chicken Caesar Salad,N/A,59g,10g,43g,3g,6g,1410mg,120mg,730,14g,0.5g
Bacon Strips (2),N/A,8g,1g,7g,1g,0g,350mg,20mg,100,2g,0g
Caesar Salad,N/A,22g,15g,6g,3g,3g,590mg,15mg,280,5g,0g
"Chicken Noodle Soup, Bowl",N/A,15g,43g,21g,5g,2g,3880mg,110mg,390,6g,0g
"Chicken Noodle Soup, Cup",N/A,10g,28g,14g,4g,3g,2580mg,75mg,260,4g,1g
Cobb Salad (Add Dressing Choice),N/A,30g,20g,22g,6g,6g,560mg,255mg,430,12g,0g
"Cobb Salad, Add Fried Chicken Strips",N/A,13g,39g,25g,0g,1g,920mg,65mg,370,2.5g,0g
"Cobb Salad, Add Grilled Chicken",N/A,9g,0g,29g,0g,0g,330mg,75mg,200,2g,0g
"Cobb Salad, Add Prime Rib",N/A,8g,3g,13g,0g,0g,440mg,35mg,130,2g,0g
