Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Lagunitas IPA (12 oz),N/A,0g,14g,3g,2g,0g,15mg,0mg,190,0g,0g
Lagunitas IPA (16 oz),N/A,0g,19g,4g,3g,0g,20mg,0mg,250,0g,0g
Landshark Lager (12 oz),N/A,0g,13g,1g,0g,0g,0mg,0mg,150,0g,0g
Landshark Lager (16 oz),N/A,0g,18g,2g,0g,0g,0mg,0mg,200,0g,0g
Michelob Original Lager (12 oz),N/A,0g,14g,2g,0g,0g,0mg,0mg,160,0g,0g
Michelob Original Lager (16 oz),N/A,0g,19g,3g,0g,0g,0mg,0mg,210,0g,0g
Michelob Ultra (12 oz),N/A,0g,3g,1g,0g,0g,0mg,0mg,100,0g,0g
Michelob Ultra (16 oz),N/A,0g,3g,1g,0g,0g,0mg,0mg,130,0g,0g
Miller Genuine Draft (12 oz),N/A,0g,12g,0g,0g,0g,10mg,0mg,140,0g,0g
Miller Genuine Draft (16 oz),N/A,0g,16g,0g,0g,0g,15mg,0mg,190,0g,0g
Miller High Life (12 oz),N/A,0g,12g,0g,0g,0g,10mg,0mg,140,0g,0g
Miller High Life (16 oz),N/A,0g,16g,0g,0g,0g,15mg,0mg,190,0g,0g
Miller Lite (12 oz),N/A,0g,3g,0g,0g,0g,5mg,0mg,100,0g,0g
