Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"6"" Subway Seafood SensationTM",233,19.0,51,13,8,5,780,15,420,3.0,0.0,6.00,0.8095238095238095,0.23809523809523808,1.2380952380952381,1.1750154607297465,1.5476190476190477,0.7142857142857143
"6"" Turkey & Bacon",234,9.0,47,23,8,5,1190,30,360,3.0,0.0,7.50,0.8703703703703705,0.5555555555555556,2.5555555555555554,0.6493506493506493,2.7546296296296298,0.8333333333333334
"6"" Turkey & Bacon Avocado",270,14.0,50,24,8,7,1190,30,420,3.5,0.0,7.50,0.7936507936507936,0.47619047619047616,2.2857142857142856,0.8658008658008658,2.361111111111111,0.8333333333333334
"6"" Turkey & Bacon Guacamole",270,15.0,50,24,8,7,1280,30,440,4.0,0.0,7.50,0.7575757575757576,0.45454545454545453,2.1818181818181817,0.8854781582054309,2.4242424242424243,0.9090909090909091
"6"" Turkey Breast & Black Forest Ham",219,4.0,46,18,8,5,780,20,280,1.0,0.0,6.00,1.0952380952380953,0.47619047619047616,2.571428571428571,0.37105751391465674,2.3214285714285716,0.35714285714285715
"6"" Turkey Italiano Melt",252,23.0,48,22,9,5,1560,50,480,8.0,0.5,6.00,0.6666666666666667,0.6944444444444445,1.8333333333333333,1.2445887445887447,2.7083333333333335,1.6666666666666667
"6"" Veggie Patty",247,10.0,52,21,9,8,800,0,390,3.0,0.0,6.00,0.888888888888889,0.0,2.153846153846154,0.666000666000666,1.7094017094017093,0.7692307692307693
Footlong Applewood Pulled Pork,552,18.0,124,46,48,10,1960,90,840,4.0,0.0,1.50,0.9841269841269842,0.7142857142857143,2.1904761904761907,0.5565862708719852,1.9444444444444446,0.4761904761904762
Footlong B.L.T.,330,26.0,88,40,14,10,2260,40,760,9.0,0.0,6.00,0.7719298245614036,0.3508771929824561,2.1052631578947367,0.8885850991114149,2.4780701754385968,1.1842105263157896
Footlong BBQ Rib Melt,510,58.0,98,48,20,10,1680,120,1100,22.0,0.0,5.50,0.593939393939394,0.7272727272727273,1.7454545454545456,1.369539551357733,1.272727272727273,2.0
Footlong Big Cheesy,252,34.0,86,36,10,8,1960,90,780,20.0,1.0,5.50,0.7350427350427351,0.7692307692307693,1.8461538461538463,1.132201132201132,2.094017094017094,2.564102564102564
Footlong Buffalo Chicken Rotisserie-Style,566,34.0,94,58,16,12,2540,120,920,6.0,0.0,7.75,0.6811594202898551,0.8695652173913043,2.5217391304347823,0.9599096555618295,2.300724637681159,0.6521739130434783
Footlong Buffalo Chicken with Chicken Strips,538,32.0,92,50,16,12,2200,110,840,6.0,0.0,4.75,0.7301587301587302,0.8730158730158731,2.380952380952381,0.9894867037724181,2.182539682539683,0.7142857142857143
Footlong Caesar Chicken Melt with Chicken Strips,536,44.0,92,58,14,10,1600,150,980,12.0,1.0,8.75,0.6258503401360545,1.0204081632653061,2.36734693877551,1.1661807580174925,1.360544217687075,1.2244897959183674
Footlong Chicken Caesar Melt Rotisserie Style,566,48.0,92,68,16,10,2020,150,1040,12.0,1.0,5.25,0.5897435897435898,0.9615384615384615,2.6153846153846154,1.1988011988011988,1.6185897435897436,1.153846153846154
Footlong Chicken Parmesan,554,32.0,126,48,20,12,2000,70,960,10.0,1.0,7.50,0.8750000000000001,0.48611111111111116,2.0,0.8658008658008658,1.7361111111111114,1.0416666666666665
Footlong Chicken Pizziola Melt,586,30.0,100,64,20,12,2280,160,920,12.0,1.0,2.50,0.7246376811594203,1.1594202898550725,2.782608695652174,0.846979107848673,2.0652173913043477,1.3043478260869565
Footlong Chicken Salad,340,20.0,102,38,24,12,1320,90,740,4.0,0.0,7.50,0.918918918918919,0.8108108108108109,2.0540540540540544,0.7020007020007021,1.4864864864864866,0.5405405405405406
Footlong Chicken Strips,466,8.0,88,50,14,10,980,100,620,2.0,0.0,7.50,0.946236559139785,1.075268817204301,3.225806451612903,0.3351487222454964,1.3172043010752688,0.3225806451612903
