Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Kids Breakfast Jack,132.0,18.0,30,16,4,1,840,240,350,6.0,0.0,1.59,0.5714285714285715,4.571428571428572,1.8285714285714285,1.3358070500927643,2.0,1.7142857142857144
Kids Cheeseburger,123.0,21.0,32,16,5,1,780,35,380,8.0,1.0,2.49,0.5614035087719298,0.6140350877192983,1.6842105263157894,1.4354066985645932,1.710526315789474,2.1052631578947367
Kids Chicken Nuggets,77.0,17.0,13,9,0,1,600,25,240,2.0,0.0,1.59,0.36111111111111116,0.6944444444444445,1.5,1.8398268398268398,2.0833333333333335,0.8333333333333334
Kids Chicken Sandwich,156.0,31.0,42,15,4,2,940,35,510,5.0,0.0,1.29,0.5490196078431373,0.4575163398692811,1.1764705882352942,1.5788133435192258,1.5359477124183005,0.9803921568627451
Kids Crispy Chicken Strips,98.0,12.0,26,17,0,1,790,30,280,1.5,0.0,4.69,0.6190476190476191,0.7142857142857143,2.4285714285714284,1.1131725417439704,2.3511904761904763,0.5357142857142857
Kids Grilled Cheese Sandwich,94.0,16.0,34,11,3,2,800,20,330,6.0,0.0,3.69,0.6868686868686869,0.4040404040404041,1.3333333333333333,1.2593467138921683,2.0202020202020203,1.8181818181818181
Kids Hamburger,111.0,18.0,32,14,5,1,570,25,340,5.0,1.0,3.29,0.6274509803921569,0.4901960784313726,1.6470588235294117,1.3750954927425516,1.397058823529412,1.4705882352941175
Kids Mini Pancakes,71.0,1.5,28,4,6,1,350,0,140,0.0,0.0,1.00,1.3333333333333335,0.0,1.1428571428571428,0.2782931354359926,2.0833333333333335,0.0
Jack's Deals Chicken Nuggets (5 pc.),77.0,17.0,13,9,0,1,600,25,240,2.0,0.0,1.59,0.36111111111111116,0.6944444444444445,1.5,1.8398268398268398,2.0833333333333335,0.8333333333333334
Jack's Deals Chicken Nuggets (10 pc.),153.0,33.0,26,19,0,2,1210,50,480,4.5,0.0,3.09,0.36111111111111116,0.6944444444444445,1.5833333333333333,1.7857142857142858,2.1006944444444446,0.9375
Jack's Deals Chicken Nuggets (20 pc.),306.0,66.0,51,38,1,4,2420,105,950,9.0,0.0,5.09,0.3578947368421053,0.7368421052631579,1.6,1.8045112781954886,2.1228070175438596,0.9473684210526316
Jack's Deals Chicken Sandwich,158.0,37.0,30,25,5,1,700,70,540,12.0,1.5,1.29,0.37037037037037035,0.8641975308641975,1.8518518518518516,1.7797017797017798,1.080246913580247,2.2222222222222223
Jack's Deals Chicken Sandwich with Bacon,158.0,37.0,30,25,5,1,700,70,540,12.0,1.5,1.29,0.37037037037037035,0.8641975308641975,1.8518518518518516,1.7797017797017798,1.080246913580247,2.2222222222222223
Jack's Deals Grilled Cheese Sandwich,94.0,16.0,34,11,3,2,800,20,330,6.0,0.0,4.49,0.6868686868686869,0.4040404040404041,1.3333333333333333,1.2593467138921683,2.0202020202020203,1.8181818181818181
Jack's Deals Jr. Bacon Cheeseburger,129.0,31.0,32,19,5,1,860,45,480,10.0,1.0,1.49,0.4444444444444445,0.625,1.5833333333333333,1.6774891774891776,1.4930555555555556,2.083333333333333
Jack's Deals Jr. Jumbo Jack,150.0,26.0,33,14,6,2,560,30,420,7.0,1.0,2.59,0.5238095238095238,0.47619047619047616,1.3333333333333333,1.6079158936301794,1.1111111111111112,1.6666666666666667
Jack's Deals Jr. Jumbo Jack Cheeseburger,161.0,29.0,33,16,6,2,760,40,460,9.0,1.0,3.19,0.4782608695652174,0.5797101449275363,1.391304347826087,1.6374929418407678,1.3768115942028987,1.956521739130435
Jack's Deals Jumbo Jack,223.0,33.0,32,23,6,2,580,60,520,10.0,1.5,2.59,0.4102564102564103,0.7692307692307693,1.7692307692307694,1.6483516483516483,0.9294871794871795,1.9230769230769231
Jack's Deals Jumbo Jack Cheeseburger,245.0,40.0,33,28,6,2,990,80,600,14.0,1.5,3.19,0.3666666666666667,0.888888888888889,1.8666666666666667,1.7316017316017316,1.375,2.3333333333333335
"Jack's Deals Tacos, Regular",162.0,19.0,33,12,2,5,720,25,340,6.0,0.5,1.49,0.6470588235294118,0.4901960784313726,1.4117647058823528,1.4514896867838045,1.7647058823529413,1.7647058823529411
