Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Soft Serve Cone,120.0,4.5,32,5,24,0,150,20,190,3.0,0.0,1.122807018,0.701754386,0.615174299,0.657894737,0.175438596,$1.00
Soft Serve Cup,115.0,4.5,28,5,24,0,150,20,170,3.0,0.0,1.0980392159999999,0.784313725,0.6875477459999999,0.735294118,0.19607843100000003,0
White Chocolate Macadamia Nut Cookies,76.0,18.0,44,4,28,0,240,20,340,8.0,0.0,0.862745098,0.39215686299999997,1.3750954930000001,0.588235294,0.078431373,0
Chocolate Oreo Shake,,22.0,121,17,101,1,680,70,740,13.0,0.5,1.09009009,0.630630631,0.772200772,0.7657657659999999,0.15315315300000001,0
Froot Loops Shake,,17.0,126,16,103,2,560,65,720,11.0,0.5,1.166666667,0.601851852,0.613275613,0.648148148,0.148148148,0
Oreo Shake,,20.0,118,16,98,1,540,65,720,12.0,0.5,1.092592593,0.601851852,0.721500722,0.625,0.148148148,0
Strawberry Banana Smoothie,,1.0,71,4,50,3,55,0,310,0.0,0.0,1.52688172,0.0,0.083787181,0.147849462,0.086021505,$3.49
Tropical Mango Smoothie,,0.0,86,5,56,2,70,0,370,0.0,0.0,1.54954955,0.0,0.0,0.157657658,0.09009009,0
Value Menu Bacon Cheeseburger,118.0,16.0,27,17,7,1,710,55,320,7.0,0.5,0.5625,1.145833333,1.298701299,1.8489583330000001,0.35416666700000005,0
Value Menu Bacon Double Cheeseburger,155.0,24.0,27,25,7,1,740,90,420,10.0,1.5,0.428571429,1.428571429,1.484230056,1.4682539680000002,0.396825397,0
Value Menu Cheeseburger,111.0,13.0,27,15,7,1,560,45,280,6.0,0.5,0.642857143,1.071428571,1.20593692,1.6666666669999999,0.35714285700000004,$2.39
Value Menu Crispy Chicken Jr.,142.0,30.0,34,12,5,2,780,30,450,5.0,0.0,0.503703704,0.444444444,1.731601732,1.4444444440000002,0.177777778,0
Value Menu Double Cheeseburger,148.0,21.0,27,23,7,1,590,85,390,9.0,1.5,0.46153846200000004,1.452991453,1.3986013990000001,1.260683761,0.39316239299999994,0
Value Menu Rodeo Burger,117.0,14.0,38,13,9,1,520,35,330,4.5,0.5,0.767676768,0.7070707070000001,1.101928375,1.313131313,0.262626263,$1.00
Value Menu Rodeo Crispy Chicken Jr.,154.0,16.0,55,13,14,2,860,20,420,3.0,0.0,0.8730158729999999,0.317460317,0.989486704,1.7063492059999998,0.206349206,0
Value Menu Spicy Crispy Chicken Jr.,142.0,21.0,37,12,6,2,740,30,390,3.5,0.0,0.632478632,0.512820513,1.3986013990000001,1.581196581,0.205128205,0
