Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
"Milk, Low Fat",214.0,2.0,12.0,9.0,12.0,0.0,130.0,10.0,110.0,1.5,0.0,0.7272727272727273,0.6060606060606061,0.4722550177095631,0.984848484848485,0.5454545454545455,$1.29
Chocolate Overload Cake,93.0,7.0,57.0,4.0,34.0,2.0,350.0,40.0,300.0,1.5,0.0,1.2666666666666668,0.8888888888888891,0.6060606060606061,0.9722222222222224,0.08888888888888889,$3.29
Mini Churros (5 pc.),86.0,18.0,42.0,4.0,12.0,2.0,280.0,5.0,350.0,3.5,0.0,0.8,0.09523809523809523,1.3358070500927643,0.6666666666666667,0.0761904761904762,$1.00
Mini Churros (10 pc.),172.0,37.0,84.0,7.0,25.0,4.0,550.0,10.0,690.0,7.0,0.0,0.8115942028985508,0.0966183574879227,1.3928100884622625,0.6642512077294687,0.06763285024154589,$1.99
New York Style Cheesecake,92.0,17.0,32.0,7.0,22.0,1.0,260.0,25.0,310.0,9.0,0.0,0.6881720430107527,0.5376344086021505,1.4243820695433602,0.6989247311827957,0.15053763440860216,0
Kids Breakfast Jack,132.0,18.0,30.0,16.0,4.0,1.0,840.0,240.0,350.0,6.0,0.0,0.5714285714285715,4.571428571428573,1.3358070500927643,2.0,0.3047619047619048,0
Kids Cheeseburger,123.0,21.0,32.0,16.0,5.0,1.0,780.0,35.0,380.0,8.0,1.0,0.5614035087719298,0.6140350877192983,1.4354066985645932,1.7105263157894743,0.2807017543859649,0
Kids Chicken Nuggets,77.0,17.0,13.0,9.0,0.0,1.0,600.0,25.0,240.0,2.0,0.0,0.3611111111111112,0.6944444444444445,1.83982683982684,2.083333333333333,0.25,0
Kids Chicken Sandwich,156.0,31.0,42.0,15.0,4.0,2.0,940.0,35.0,510.0,5.0,0.0,0.5490196078431373,0.4575163398692811,1.5788133435192258,1.5359477124183003,0.19607843137254904,0
Kids Crispy Chicken Strips,98.0,12.0,26.0,17.0,0.0,1.0,790.0,30.0,280.0,1.5,0.0,0.6190476190476191,0.7142857142857143,1.1131725417439704,2.3511904761904763,0.4047619047619048,0
Kids Grilled Cheese Sandwich,94.0,16.0,34.0,11.0,3.0,2.0,800.0,20.0,330.0,6.0,0.0,0.6868686868686869,0.4040404040404041,1.2593467138921683,2.0202020202020203,0.22222222222222224,$6.69
Kids Hamburger,111.0,18.0,32.0,14.0,5.0,1.0,570.0,25.0,340.0,5.0,1.0,0.6274509803921569,0.4901960784313726,1.3750954927425516,1.3970588235294121,0.27450980392156865,0
Kids Mini Pancakes,71.0,1.5,28.0,4.0,6.0,1.0,350.0,0.0,140.0,0.0,0.0,1.3333333333333337,0.0,0.2782931354359926,2.083333333333333,0.19047619047619047,0
Jack's Deals Chicken Nuggets (5 pc.),77.0,17.0,13.0,9.0,0.0,1.0,600.0,25.0,240.0,2.0,0.0,0.3611111111111112,0.6944444444444445,1.83982683982684,2.083333333333333,0.25,0
Jack's Deals Chicken Nuggets (10 pc.),153.0,33.0,26.0,19.0,0.0,2.0,1210.0,50.0,480.0,4.5,0.0,0.3611111111111112,0.6944444444444445,1.7857142857142858,2.1006944444444446,0.2638888888888889,0
Jack's Deals Chicken Nuggets (20 pc.),306.0,66.0,51.0,38.0,1.0,4.0,2420.0,105.0,950.0,9.0,0.0,0.3578947368421053,0.7368421052631579,1.8045112781954888,2.12280701754386,0.26666666666666666,0
Jack's Deals Chicken Sandwich,158.0,37.0,30.0,25.0,5.0,1.0,700.0,70.0,540.0,12.0,1.5,0.3703703703703704,0.8641975308641975,1.7797017797017798,1.080246913580247,0.308641975308642,0
Jack's Deals Chicken Sandwich with Bacon,158.0,37.0,30.0,25.0,5.0,1.0,700.0,70.0,540.0,12.0,1.5,0.3703703703703704,0.8641975308641975,1.7797017797017798,1.080246913580247,0.308641975308642,0
Jack's Deals Grilled Cheese Sandwich,94.0,16.0,34.0,11.0,3.0,2.0,800.0,20.0,330.0,6.0,0.0,0.6868686868686869,0.4040404040404041,1.2593467138921683,2.0202020202020203,0.22222222222222224,0
Jack's Deals Jr. Bacon Cheeseburger,129.0,31.0,32.0,19.0,5.0,1.0,860.0,45.0,480.0,10.0,1.0,0.4444444444444445,0.625,1.6774891774891776,1.4930555555555556,0.2638888888888889,0
Jack's Deals Jr. Jumbo Jack,150.0,26.0,33.0,14.0,6.0,2.0,560.0,30.0,420.0,7.0,1.0,0.5238095238095238,0.4761904761904762,1.6079158936301794,1.1111111111111112,0.22222222222222224,0
Jack's Deals Jr. Jumbo Jack Cheeseburger,161.0,29.0,33.0,16.0,6.0,2.0,760.0,40.0,460.0,9.0,1.0,0.4782608695652174,0.5797101449275363,1.6374929418407678,1.376811594202899,0.2318840579710145,0
Jack's Deals Jumbo Jack,223.0,33.0,32.0,23.0,6.0,2.0,580.0,60.0,520.0,10.0,1.5,0.4102564102564103,0.7692307692307693,1.6483516483516485,0.9294871794871796,0.2948717948717949,0
Jack's Deals Jumbo Jack Cheeseburger,245.0,40.0,33.0,28.0,6.0,2.0,990.0,80.0,600.0,14.0,1.5,0.3666666666666667,0.8888888888888891,1.7316017316017316,1.375,0.3111111111111111,0
"Jack's Deals Tacos, Regular",162.0,19.0,33.0,12.0,2.0,5.0,720.0,25.0,340.0,6.0,0.5,0.6470588235294118,0.4901960784313726,1.4514896867838043,1.7647058823529411,0.2352941176470588,$1.49
