Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Modern Greek Salad with Quinoa, Half",N/A,20g,14g,6g,2g,3g,440mg,5mg,260,3.5g,0g
"Modern Greek Salad with Quinoa, Whole",N/A,43g,27g,12g,4g,7g,870mg,15mg,530,7g,0g
"Reduced Fat Balsamic Vinaigrette, Half",N/A,5g,5g,0g,4g,0g,60mg,0mg,60,1g,0g
"Reduced Fat Balsamic Vinaigrette, Whole",N/A,10g,9g,0g,9g,0g,115mg,0mg,130,1.5g,0g
"Seasonal Greens Salad, Half",N/A,6g,10g,2g,7g,2g,75mg,0mg,90,1g,0g
"Seasonal Greens Salad, Whole",N/A,11g,20g,4g,13g,4g,150mg,0mg,180,1.5g,0g
"Southwest Chile Lime Ranch Salad with Chicken, Half",N/A,17g,28g,19g,5g,5g,400mg,50mg,330,3.5g,0g
"Southwest Chile Lime Ranch Salad with Chicken, Whole",N/A,34g,56g,38g,9g,10g,800mg,95mg,670,7g,0g
"Spicy Thai Salad with Chicken, Half",N/A,11g,21g,21g,6g,4g,380mg,40mg,260,1.5g,0g
"Spicy Thai Salad with Chicken, Whole",N/A,22g,41g,42g,12g,8g,750mg,80mg,510,3g,0g
"White Balsamic Apple Flavored Vinaigrette, Half",N/A,6g,6g,0g,5g,0g,70mg,0mg,80,1g,0g
"White Balsamic Apple Flavored Vinaigrette, Whole",N/A,12g,11g,0g,10g,1g,140mg,0mg,160,2g,0g
Lentil Quinoa Broth Bowl with Chicken,N/A,9g,45g,32g,5g,9g,1330mg,65mg,380,1.5g,0g
Lentil Quinoa Broth Bowl wtih Cage-Free Egg,N/A,12g,44g,16g,5g,9g,1240mg,185mg,340,2.5g,0g
Soba Noodle Bowl with Chicken,N/A,9g,46g,30g,4g,4g,1190mg,65mg,380,1.5g,0g
Soba Noodle Bowl with Edamame Blend,N/A,11g,50g,13g,6g,7g,1350mg,0mg,350,1g,0g
Vegan Lentil Quinoa Broth Bowl,N/A,7g,43g,10g,5g,9g,1180mg,0mg,270,1g,0g
"Bacon Mac & Cheese, Bread Bowl",N/A,41g,164g,48g,9g,6g,2470mg,95mg,1220,20g,1g
"Bacon Mac & Cheese, Large",N/A,73g,67g,43g,16g,2g,2620mg,190mg,1100,39g,1.5g
"Bacon Mac & Cheese, Small",N/A,37g,34g,22g,8g,1g,1310mg,95mg,550,19g,1g
"Baja Mac & Cheese, Bread Bowl",N/A,39g,169g,44g,10g,8g,2320mg,155mg,1200,18g,1g
"Baja Mac & Cheese, Large",N/A,70g,77g,35g,19g,8g,2320mg,80mg,1070,36g,1.5g
"Baja Mac & Cheese, Small",N/A,35g,39g,18g,9g,4g,1160mg,155mg,530,18g,1g
"BBQ Chicken Mac & Cheese, Bread Bowl",N/A,38g,172g,50g,14g,6g,2550mg,100mg,1230,18g,1g
"BBQ Chicken Mac & Cheese, Large",N/A,68g,84g,47g,27g,3g,2790mg,200mg,1130,36g,1.5g
