Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Hawaiian Luau - Medium Original Pan Slice,108.5,10.0,29,10,2,2,480,20,240,3.5,0.0,$15.49
Ohio's Best *Local Specialty* - Medium Original Pan Slice,133.2,14.0,29,11,2,2,540,25,280,5.0,0.0,$12.49
Super Supreme - Medium Original Pan Slice,139.4,16.0,29,13,2,2,670,35,310,6.0,0.0,$16.49
Taco Pizza *Local Specialty* - Medium Original Pan Slice,146.7,14.0,32,13,2,4,560,30,310,6.0,0.0,$12.49
American Chicken Club *Local Specialty* - Medium Hand Tossed Slice,113.7,12.0,26,10,2,2,430,25,260,4.0,0.0,$16.49
Badger Special *Local Specialty* - Medium Hand Tossed Slice,102.5,9.0,26,10,1,2,420,25,230,4.5,0.0,$15.49
BBQ Beef - Medium Hand Tossed Slice,107.5,9.0,29,11,4,2,480,25,240,4.0,0.0,$15.49
BBQ Chicken *Local Specialty* - Medium Hand Tossed Slice,99.4,6.0,30,11,6,2,400,25,220,2.5,0.0,$15.49
BBQ Lover's *Local Specialty* - Medium Hand Tossed Slice,97.1,9.0,30,10,6,2,470,25,240,4.0,0.0,$15.49
BLT *Local Specialty* - Medium Hand Tossed Slice,104.1,12.0,25,9,1,2,380,25,250,4.0,0.0,$15.49
Fiesta Taco (Beef) - Medium Hand Tossed Slice,131.7,12.0,33,10,2,3,500,20,280,4.0,0.0,$15.49
Fiesta Taco (Chicken) - Medium Hand Tossed Slice,132.8,9.0,33,11,2,3,450,20,250,3.0,0.0,$15.49
Garden Chicken *Local Specialty* - Medium Hand Tossed Slice,106.8,6.0,26,10,1,2,380,20,200,3.0,0.0,$15.49
Garden Fresh *Local Specialty* - Medium Hand Tossed Slice,118.0,6.0,27,8,2,2,340,15,190,2.5,0.0,$15.49
Hawaiian *Local Specialty* - Medium Hand Tossed Slice,103.5,5.0,27,9,3,2,450,15,190,2.5,0.0,$15.49
Hawaiian Luau - Medium Hand Tossed Slice,98.6,7.0,27,9,2,2,420,20,210,3.0,0.0,$15.49
Ohio's Best *Local Specialty* - Medium Hand Tossed Slice,123.3,10.0,27,10,2,2,480,25,240,4.5,0.0,$15.49
Super Supreme - Medium Hand Tossed Slice,130.5,14.0,27,12,2,2,620,30,280,5.0,0.0,$16.49
Taco Pizza *Local Specialty* - Medium Hand Tossed Slice,135.7,11.0,30,12,2,3,500,30,270,5.0,0.0,$15.49
American Chicken Club *Local Specialty* - Medium Thin 'N Crispy® Slice,106.2,12.0,23,10,3,2,480,30,250,4.0,0.0,$16.49
Badger Special *Local Specialty* - Medium Thin 'N Crispy® Slice,93.6,9.0,22,10,3,2,470,25,210,4.5,0.0,$16.49
BBQ Beef - Medium Thin 'N Crispy® Slice,95.2,9.0,25,11,6,2,520,25,220,4.0,0.0,$15.49
BBQ Chicken *Local Specialty* - Medium Thin 'N Crispy® Slice,88.2,6.0,27,11,7,1,450,25,200,3.0,0.0,$16.49
BBQ Lover's *Local Specialty* - Medium Thin 'N Crispy® Slice,85.9,9.0,27,10,7,1,520,25,230,4.0,0.0,$15.49
BLT *Local Specialty* - Medium Thin 'N Crispy® Slice,95.2,12.0,21,9,3,1,430,25,230,4.0,0.0,$16.49
Fiesta Taco (Beef) - Medium Thin 'N Crispy® Slice,122.8,11.0,29,9,3,3,540,20,260,4.0,0.0,$15.49
Fiesta Taco (Chicken) - Medium Thin 'N Crispy® Slice,123.8,9.0,29,10,3,3,500,20,240,3.0,0.0,$16.49
Garden Chicken *Local Specialty* - Medium Thin 'N Crispy® Slice,97.9,6.0,23,10,3,2,430,20,190,3.0,0.0,$15.49
Garden Fresh *Local Specialty* - Medium Thin 'N Crispy® Slice,109.1,6.0,24,8,4,2,390,15,180,3.0,0.0,$15.49
Hawaiian *Local Specialty* - Medium Thin 'N Crispy® Slice,98.2,5.0,25,9,5,2,520,20,180,3.0,0.0,$15.49
Hawaiian Luau - Medium Thin 'N Crispy® Slice,88.5,7.0,23,9,4,2,460,20,190,3.0,0.0,$15.49
Ohio's Best *Local Specialty* - Medium Thin 'N Crispy® Slice,121.2,11.0,24,10,4,2,540,25,230,4.5,0.0,$16.49
Super Supreme - Medium Thin 'N Crispy® Slice,125.0,13.0,24,12,3,2,670,35,260,6.0,0.0,$16.49
Taco Pizza *Local Specialty* - Medium Thin 'N Crispy® Slice,128.2,11.0,27,12,3,3,550,30,250,5.0,0.0,$15.49
American Chicken Club *Local Specialty* - Large Original Pan Slice,174.8,24.0,38,17,2,2,720,40,440,7.0,0.0,$13.49
Badger Special *Local Specialty* - Large Original Pan Slice,158.3,20.0,37,16,2,3,710,35,390,7.0,0.0,$16.49
BBQ Beef - Large Original Pan Slice,167.2,19.0,41,18,6,3,790,40,410,7.0,0.5,$12.49
BBQ Chicken *Local Specialty* - Large Original Pan Slice,152.0,15.0,42,18,7,2,660,40,370,5.0,0.0,$13.49
