Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Footlong B.L.T.,330g,26g,88g,40g,14g,10g,2260mg,40mg,760,9g,0g
Footlong BBQ Rib Melt,510g,58g,98g,48g,20g,10g,1680mg,120mg,1100,22g,0g
Footlong Big Cheesy,252g,34g,86g,36g,10g,8g,1960mg,90mg,780,20g,1g
Footlong Buffalo Chicken Rotisserie-Style,566g,34g,94g,58g,16g,12g,2540mg,120mg,920,6g,0g
Footlong Buffalo Chicken with Chicken Strips,538g,32g,92g,50g,16g,12g,2200mg,110mg,840,6g,0g
Footlong Caesar Chicken Melt with Chicken Strips,536g,44g,92g,58g,14g,10g,1600mg,150mg,980,12g,1g
Footlong Chicken Caesar Melt Rotisserie Style,566g,48g,92g,68g,16g,10g,2020mg,150mg,1040,12g,1g
Footlong Chicken Parmesan,554g,32g,126g,48g,20g,12g,2000mg,70mg,960,10g,1g
Footlong Chicken Pizziola Melt,586g,30g,100g,64g,20g,12g,2280mg,160mg,920,12g,1g
Footlong Chicken Salad,340g,20g,102g,38g,24g,12g,1320mg,90mg,740,4g,0g
Footlong Chicken Strips,466g,8g,88g,50g,14g,10g,980mg,100mg,620,2g,0g
Footlong Corned Beef Reuben,656g,30g,104g,78g,26g,14g,3440mg,170mg,980,10g,1g
Footlong Crunchy Chicken Enchilada,606g,52g,120g,52g,20g,14g,2240mg,40mg,1160,14g,1g
Footlong Cubano,614g,28g,96g,64g,18g,10g,2860mg,140mg,920,9g,0g
Footlong Egg Salad,494g,52g,90g,34g,14g,10g,900mg,510mg,960,10g,0g
Footlong Falafel,552g,48g,146g,36g,16g,26g,2100mg,20mg,1160,8g,1g
Footlong Italian Hero,532g,58g,94g,52g,18g,10g,2940mg,150mg,1100,18g,1g
Footlong Italian Hero Supreme,604g,54g,108g,58g,28g,10g,3320mg,180mg,1140,22g,1g
Footlong Malibu Garden Vegan Patty,494g,20g,128g,26g,16g,18g,1560mg,0mg,760,4g,0g
Footlong Mediterranean Chicken,566g,40g,92g,60g,14g,10g,1860mg,140mg,980,12g,0g
Footlong Mediterranean Steak,566g,44g,98g,58g,18g,10g,2540mg,120mg,1040,14g,1g
Footlong Orchard Chicken Salad,494g,16g,108g,40g,30g,12g,1060mg,80mg,740,3g,0g
Footlong Pastrami,460g,34g,92g,40g,16g,10g,1960mg,100mg,840,14g,0g
"Footlong Pastrami Melt, Big Hot",574g,56g,94g,58g,16g,10g,2940mg,170mg,1160,22g,0g
Footlong Pepperoni,396g,34g,90g,32g,16g,10g,2160mg,60mg,780,12g,1g
Footlong Pizza Sub Melt,390g,48g,98g,40g,18g,10g,3280mg,110mg,980,20g,1g
Footlong Sea Salt & Pepper Fish,572g,38g,148g,42g,16g,14g,2260mg,80mg,1200,9g,0g
Footlong Subway Melt,492g,26g,96g,52g,18g,10g,2820mg,80mg,820,10g,1g
Footlong Subway Seafood SensationTM,466g,38g,102g,26g,16g,10g,1560mg,30mg,840,6g,0g
Footlong Turkey & Bacon,468g,18g,94g,46g,16g,10g,2380mg,60mg,720,6g,0g
Footlong Turkey & Bacon Avocado,540g,28g,100g,48g,16g,14g,2380mg,60mg,840,7g,0g
Footlong Turkey & Bacon Guacamole,540g,30g,100g,48g,16g,14g,2560mg,60mg,880,8g,0g
Footlong Turkey Breast & Black Forest Ham,438g,8g,92g,36g,16g,10g,1560mg,40mg,560,2g,0g
Footlong Turkey Italiano Melt,504g,46g,96g,44g,18g,10g,3120mg,100mg,960,16g,1g
Footlong Veggie Patty,494g,20g,104g,42g,18g,16g,1600mg,0mg,780,6g,0g
Black Forest Ham Salad,344g,3g,13g,12g,8g,4g,600mg,25mg,110,1g,0g
Oven Roasted Chicken Salad,358g,3.5g,13g,17g,7g,4g,410mg,45mg,150,1g,0g
Roast Beef Salad,358g,3.5g,12g,19g,7g,4g,460mg,45mg,140,1g,0g
Rotisserie-Style Chicken Salad,372g,4.5g,12g,23g,6g,4g,460mg,55mg,170,1g,0g
Subway Club Salad,365g,3g,13g,18g,7g,4g,640mg,40mg,140,1g,0g
Sweet Onion Chicken Teriyaki Salad,415g,3g,34g,19g,23g,4g,650mg,50mg,230,1g,0g
Turkey Breast Salad,344g,2g,13g,12g,7g,4g,560mg,20mg,110,0.5g,0g
