Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Veggie Lover's® - 18"" Slice",245.3g,12g,54g,17g,4g,5g,800mg,30mg,390,5g,0g
Backyard BBQ Chicken - Big New Yorker Slice,164.9g,10g,55g,17g,8g,3g,630mg,30mg,380,4.5g,0g
Buffalo Chicken - Big New Yorker Slice,165.2g,9g,52g,16g,2g,3g,890mg,30mg,350,4g,0g
Cheese - Big New Yorker Slice,162.5g,11g,48g,16g,3g,3g,590mg,30mg,350,5g,0g
Chicken-Bacon Parmesan - Big New Yorker Slice,171.8g,14g,47g,18g,2g,3g,640mg,35mg,380,6g,0g
Garden Chicken - Big New Yorker Slice,87.5g,7g,7g,9g,2g,2g,370mg,30mg,120,3.5g,0g
Garden Fresh - Big New Yorker Slice,83.5g,6g,7g,6g,2g,2g,310mg,20mg,110,3.5g,0g
Hawaiian Chicken - Big New Yorker Slice,184.4g,9g,50g,17g,3g,3g,710mg,30mg,350,4g,0g
Meat Lover's® - Big New Yorker Slice,190.3g,21g,48g,20g,2g,3g,960mg,50mg,460,8g,0g
Pepperoni - Big New Yorker Slice,158.9g,13g,47g,15g,2g,3g,630mg,30mg,370,6g,0g
Pepperoni Lover's® - Big New Yorker Slice,179.6g,18g,48g,19g,2g,4g,840mg,50mg,440,8g,0g
Supreme - Big New Yorker Slice,188.3g,15g,49g,16g,3g,4g,730mg,35mg,390,6g,0g
Ultimate Cheese Lover's® - Big New Yorker Slice,157.9g,14g,47g,17g,1g,3g,620mg,35mg,380,6g,0g
Veggie Lover's® - Big New Yorker Slice,186.9g,9g,50g,14g,3g,4g,610mg,20mg,330,4g,0g
American Chicken Club *Local Specialty* - Personal Pan Pizza® Slice,80.3g,9g,18g,8g,2g,1g,340mg,20mg,180,2.5g,0g
Bacon Cheeseburger (w/ cheddar cheese) - Personal Pan Pizza® Slice,77.6g,11g,17g,8g,2g,1g,450mg,20mg,200,4.5g,0g
Badger Special *Local Specialty* - Personal Pan Pizza® Slice,74g,8g,18g,7g,2g,1g,350mg,15mg,170,3g,0g
BBQ Beef - Personal Pan Pizza® Slice,71.9g,7g,19g,7g,3g,1g,340mg,15mg,160,2.5g,0g
BBQ Chicken *Local Specialty* - Personal Pan Pizza® Slice,80.6g,5g,25g,8g,8g,1g,380mg,20mg,180,2g,0g
BBQ Lover's *Local Specialty* - Personal Pan Pizza® Slice,77.6g,8g,25g,7g,8g,1g,410mg,15mg,200,3g,0g
Fiesta Taco (Beef) - Personal Pan Pizza® Slice,87.1g,10g,21g,7g,2g,2g,380mg,15mg,200,3g,0g
Fiesta Taco (Chicken) - Personal Pan Pizza® Slice,88.2g,7g,21g,8g,2g,2g,340mg,15mg,180,2g,0g
Garden Chicken *Local Specialty* - Personal Pan Pizza® Slice,80.4g,6g,18g,8g,2g,1g,330mg,15mg,160,2g,0g
Garden Fresh *Local Specialty* - Personal Pan Pizza® Slice,82.7g,6g,18g,6g,2g,2g,290mg,10mg,150,2g,0g
Hawaiian *Local Specialty* - Personal Pan Pizza® Slice,70.3g,5g,18g,6g,3g,1g,330mg,10mg,140,2g,0g
Italian Classic - Personal Pan Pizza® Slice,,10g,17g,8g,2g,1g,400mg,20mg,190,4g,0g
Ohio's Best *Local Specialty* - Personal Pan Pizza® Slice,83.8g,9g,18g,7g,2g,2g,370mg,15mg,180,3g,0g
Super Supreme - Personal Pan Pizza® Slice,90.6g,11g,18g,9g,2g,1g,470mg,20mg,210,4g,0g
Taco Pizza *Local Specialty* - Personal Pan Pizza® Slice,83.5g,7g,19g,7g,2g,2g,330mg,15mg,170,3g,0g
American Chicken Club *Local Specialty* - Small Original Pan™ Slice,73.8g,8g,16g,7g,2g,1g,320mg,15mg,170,2.5g,0g
Fiesta Taco (Beef) - Small Original Pan™ Slice,78.5g,8g,19g,6g,2g,2g,330mg,10mg,180,2.5g,0g
Fiesta Taco (Chicken) - Small Original Pan™ Slice,79.7g,7g,19g,7g,2g,2g,300mg,10mg,170,2g,0g
Garden Chicken *Local Specialty* - Small Original Pan™ Slice,70.6g,5g,16g,7g,2g,1g,290mg,10mg,140,2g,0g
Garden Fresh *Local Specialty* - Small Original Pan™ Slice,78.7g,5g,17g,5g,2g,1g,260mg,10mg,130,2g,0g
Ohio's Best *Local Specialty* - Small Original Pan™ Slice,78.6g,8g,16g,6g,2g,1g,340mg,15mg,160,3g,0g
Super Supreme - Small Original Pan™ Slice,82.7g,10g,16g,8g,2g,1g,420mg,20mg,180,3.5g,0g
Taco Pizza *Local Specialty* - Small Original Pan™ Slice,76.4g,7g,17g,7g,2g,2g,290mg,15mg,160,3g,0g
American Chicken Club *Local Specialty* - Small Hand Tossed Slice,71.8g,7g,17g,7g,1g,1g,270mg,15mg,160,2.5g,0g
Fiesta Taco (Beef) - Small Hand Tossed Slice,76.6g,7g,20g,6g,1g,2g,280mg,10mg,170,2.5g,0g
Fiesta Taco (Chicken) - Small Hand Tossed Slice,77.7g,5g,20g,6g,1g,2g,250mg,10mg,150,1.5g,0g
Garden Fresh *Local Specialty* - Small Hand Tossed Slice,76.7g,3.5g,18g,5g,1g,1g,220mg,10mg,120,1.5g,0g
Ohio's Best *Local Specialty* - Small Hand Tossed Slice,76.6g,6g,17g,6g,1g,1g,300mg,15mg,150,2.5g,0g
Super Supreme - Small Hand Tossed Slice,81.4g,9g,17g,7g,1g,1g,380mg,20mg,170,3.5g,0g
Taco Pizza *Local Specialty* - Small Hand Tossed Slice,74.4g,5g,18g,6g,1g,2g,250mg,15mg,140,2.5g,0g
Super Supreme - Small Thin 'N Crispy® Slice,72.7g,8g,14g,7g,2g,1g,390mg,20mg,150,3g,0g
